,statement,choice
0, The giraffe is riding the bicycle. ,"#statement:  The giraffe is riding the bicycle. 

        Select the most corresponding reason why this statement is against common sense:
        A. giraffes have long legs and necks.
B. Giraffes are are incapable of human behavior
C. Giraffes are living creatures.
        choice: 
         (A)"
0, I put on my sunglasses because it was an overcast day. ,"#statement:  I put on my sunglasses because it was an overcast day. 

        Select the most corresponding reason why this statement is against common sense:
        A. The sun shines bright in August.
B. Sunglasses aren't needed on overcast days.
C. Overcast days are dreary.
        choice: 
         B"
0, Kim is dating the garbage. ,"#statement:  Kim is dating the garbage. 

        Select the most corresponding reason why this statement is against common sense:
        A. Relationships take a lot of work.
B. People don't have relationships with garbage.
C. Garbage goes in a garbage can.
        choice: 
         B) people do not date or be involved romantically, friendship wise etc...with objects like ""garage"" because they are just that ,objects and cannot reciprocate emotions nor provide"
0, A television plays audio only. ,"#statement:  A television plays audio only. 

        Select the most corresponding reason why this statement is against common sense:
        A. A television plays audio, as well as video.
B. I watch the news on the television.
C. The television has a football game on it.
        choice: 
         (A)"
0, Rabbits are carnivores ,"#statement:  Rabbits are carnivores 

        Select the most corresponding reason why this statement is against common sense:
        A. Rabbits eat vegetables and they are herbivores
B. there are many herbivores and carnivorous in the world
C. the carnivorous will prey on the herbivores
        choice: 
         C) The Carnivore's Will Prey On Herbivorus"
0, I put a car inside the fridge. ,"#statement:  I put a car inside the fridge. 

        Select the most corresponding reason why this statement is against common sense:
        A. Car is much bigger than the fridge.
B. People can buy a car and a fridge easily
C. He drove a car to buy a fridge
        choice: 
         (A) The size of cars are generally larger then that offridges, making it impossible for one fit in another without alteration or modification"
0, Firetrucks are green ,"#statement:  Firetrucks are green 

        Select the most corresponding reason why this statement is against common sense:
        A. Red can't be green because it's red
B. The color of the firetrucks is red but not green
C. Some people can not discern green and red
        choice: 
         B"
0, Amazon is the only place to shop online. ,"#statement:  Amazon is the only place to shop online. 

        Select the most corresponding reason why this statement is against common sense:
        A. the best place to shop online is to visit a store in person.
B. He likes to visit a store and then shop online.
C. There are plenty of locations to shop online.
        choice: 
         (A) The best way to buy something you want or need quickly, easily from home without having leave your house!"
0, an aircraft carrier is a human ,"#statement:  an aircraft carrier is a human 

        Select the most corresponding reason why this statement is against common sense:
        A. an aircraft carrier is another type of weapon
B. the most excellent human will be selected to serve on aircraft carriers
C. an aircraft carrier is a large metal ship
        choice: 
         (D) all above"
0, Plastic is more expensive than gold. ,"#statement:  Plastic is more expensive than gold. 

        Select the most corresponding reason why this statement is against common sense:
        A. Gold is a precious metal while plastic is cheap
B. Plastic is man made.
C. gold is heavier than plastic
        choice: 
         (A)"
0, The branch ate the parrot. ,"#statement:  The branch ate the parrot. 

        Select the most corresponding reason why this statement is against common sense:
        A. Parrots are colorful, branches are dull.
B. A branch cannot eat things, like a parrot.
C. A branch cannot be inside a parrot.
        choice: 
         B"
0, Today I ran three ice-creams to gain a lot of calories to help me lose weight. ,"#statement:  Today I ran three ice-creams to gain a lot of calories to help me lose weight. 

        Select the most corresponding reason why this statement is against common sense:
        A. A calorie is a unit of energy widely used in nutrition.
B. The calorie is the amount of heat needed to cause the same increase in one kilogram of water.
C. More calories means more weight
        choice: 
         (A)"
0, You do not need eyes to read a book. ,"#statement:  You do not need eyes to read a book. 

        Select the most corresponding reason why this statement is against common sense:
        A. You only need one eye to read a book.
B. You do not need three eyes to read a book
C. Without eyes,  you cannot see the words of a book and then read it.
        choice: 
         (A)"
0, the dog is talking ,"#statement:  the dog is talking 

        Select the most corresponding reason why this statement is against common sense:
        A. the dog barked at the mailman
B. dogs don't talk
C. the dog is a brown
        choice: 
         B) Dogs do not speak or communicate in words like humans"
0, weathering is a hammer that breaks rock ,"#statement:  weathering is a hammer that breaks rock 

        Select the most corresponding reason why this statement is against common sense:
        A. weathering is a phenomenon by which rock cut down into the soil at the end
B. people can not eat rocks directly
C. it is a good weather today
        choice: 
         (A) Weathering is an agent of erosion, breaking up and transportation sediment over land or water through natural processes such as wind ,water ice action .It does breakdown"
0, The sun sprays water on the planet ,"#statement:  The sun sprays water on the planet 

        Select the most corresponding reason why this statement is against common sense:
        A. The sun vaporize the water
B. The sun emits light not water
C. Water is liquid and the sun is gas
        choice: 
         (A)"
0, people can need sleep ,"#statement:  people can need sleep 

        Select the most corresponding reason why this statement is against common sense:
        A. sleep is not a thing to have it granted
B. sleeping is nature for every living being
C. sleeping is an activity that every living thing needs
        choice: 
         C) Sleeping is something everyone does, and there are many reasons they do so including relaxation after waking up from deep or REM (rapid eye movement). It's also"
0, he wrote a great hamburger ,"#statement:  he wrote a great hamburger 

        Select the most corresponding reason why this statement is against common sense:
        A. you can read a novel while eating a hamburger
B. hamburgers and novels are both items that are sold
C. nobody can write a hamburger
        choice: 
         (D) all of above"
0, If you're poor you can buy a yacht. ,"#statement:  If you're poor you can buy a yacht. 

        Select the most corresponding reason why this statement is against common sense:
        A. A yacht can run on the water.
B. A yacht is used for cruising or racing
C. A yacht is very expensive
        choice: 
         (A)   B )    C))"
0, apple is a blue fruit ,"#statement:  apple is a blue fruit 

        Select the most corresponding reason why this statement is against common sense:
        A. apple is grown on trees
B. apple cannot be blue
C. trees are not usually blue
        choice: 
         (A) Apple grows in orchards, which can have many different types of fruits and vegetables growing together but they do grow separately from each other so it's unlikely that an ""apple"
0, Monkeys have long necks. ,"#statement:  Monkeys have long necks. 

        Select the most corresponding reason why this statement is against common sense:
        A. Monkeys are mammals and so are giraffes.
B. Monkeys have short necks.
C. Monkeys eat bananas.
        choice: 
         B)Monkey's do not actually possess a neck of any length, they simply bend their heads to reach food or avoid danger"
0, Tim went to the school in the sky ,"#statement:  Tim went to the school in the sky 

        Select the most corresponding reason why this statement is against common sense:
        A. buildings don't hang in the air
B. when Tim went to school, the sky is grey
C. Tim don't like to go to school
        choice: 
         (A) Buildings can not be found floating or hanging mid-air as they are anchored firmly on ground and have a solid foundation which makes it impossible for them to defy gravity"
0, Salsa is for hair ,"#statement:  Salsa is for hair 

        Select the most corresponding reason why this statement is against common sense:
        A. Salsa is too spicy for him
B. Salsa does not style hair well
C. Salsa is a food item
        choice: 
         ( ) B - Salsa does not styled his hair well"
0, Everyday I feed my dog some chocolate bars. ,"#statement:  Everyday I feed my dog some chocolate bars. 

        Select the most corresponding reason why this statement is against common sense:
        A. dogs are bigger than chocolate bars
B. If a dog eats chocolate he will die.
C. Chocolate bars taste great with milk
        choice: 
         B)If a dog eat's chocolate, they may experience vomiting and diarrhea but it won’t kill them directly"
0, My knee was scrapped and I put dirt on it. ,"#statement:  My knee was scrapped and I put dirt on it. 

        Select the most corresponding reason why this statement is against common sense:
        A. The wound is dirty.
B. Dirt is natural because it is from nature.
C. Dirt cannot cure or protect the wound.
        choice: 
         (A)"
0, Jeremy fetches a bull from the cabinet. ,"#statement:  Jeremy fetches a bull from the cabinet. 

        Select the most corresponding reason why this statement is against common sense:
        A. Bull's are usually black while cabinets are usually brown.
B. A bull is much bigger than a cabinet.
C. A bull cannot eat cans of soup in a cabinet.
        choice: 
         (A)"
0, the TV is walking away ,"#statement:  the TV is walking away 

        Select the most corresponding reason why this statement is against common sense:
        A. the TV is for playing videos
B. the TV is missing
C. TV is unmovable
        choice: 
         (A) The tv can't walk or move on its own, so it cannot be ""walking"" anywhere"
0, Something you find at a hotel is n cow shelter ,"#statement:  Something you find at a hotel is n cow shelter 

        Select the most corresponding reason why this statement is against common sense:
        A. Cow shelter will smell very bad
B. A hotel is much larer than a cow shelter
C. Hotel is only for human guest and no hotel will have cow shelter insider
        choice: 
         (A)"
0, He purchased chemical and cement to prepare a sandwich for dinner ,"#statement:  He purchased chemical and cement to prepare a sandwich for dinner 

        Select the most corresponding reason why this statement is against common sense:
        A. no one can buy chemical and cement to make a sandwich
B. vegetables are usually purchased in the car repair shop
C. To make a tasty sandwich add more chemical
        choice: 
         (A)noone"
0, i am going are computer buy on mobile shop ,"#statement:  i am going are computer buy on mobile shop 

        Select the most corresponding reason why this statement is against common sense:
        A. a mobile shop is not computer sale
B. a mobile shop is mini budgets gadgets mobile sale
C. mobile shop is an only mobile sale
        choice: 
         B) Mobile Shop Is Mini Budget Gadets Mobile Sale"
0, God lives physically on earth ,"#statement:  God lives physically on earth 

        Select the most corresponding reason why this statement is against common sense:
        A. Some people trust that god once lived on the earth
B. God handed the bible to the man piously and returned home
C. The god is a characater wrote by people
        choice: 
         (A) some peoples believe he does, but there's no evidence of it"
0, A family do not need a house. ,"#statement:  A family do not need a house. 

        Select the most corresponding reason why this statement is against common sense:
        A. The family lives in a hotel.
B. That family bought a house last week
C. Usually, a family need a house to live in
        choice: 
         C"
0, We need fire to survive. ,"#statement:  We need fire to survive. 

        Select the most corresponding reason why this statement is against common sense:
        A. Fire helps people cook food
B. Fire doesn't produce oxygen and destroys everything around us.
C. Fire is red in color like blood
        choice: 
         B)Fire doesn’t produces O2, it actually consumes them which means we don’t really “need” or rely on fires for our existence as humans do not require a constant supply"
0, he was given sweets as he failed the exam ,"#statement:  he was given sweets as he failed the exam 

        Select the most corresponding reason why this statement is against common sense:
        A. he does not like sweets
B. no one celebrates the failure
C. the exam is difficult for him
        choice: 
         (D) all of above"
0, the Amazon rainforest does not have any animals on it ,"#statement:  the Amazon rainforest does not have any animals on it 

        Select the most corresponding reason why this statement is against common sense:
        A. the Amazon rainforest's condition is good for animal growth
B. the Amazon rainforest has an abundance of unique animal species on it
C. the Amazon rainforest is the biggest rainforest in the world
        choice: 
         (D) all above"
0, He filled his Car Tank with  water. ,"#statement:  He filled his Car Tank with  water. 

        Select the most corresponding reason why this statement is against common sense:
        A. Gasoline is flammable while water can quench flames.
B. Water cannot be used to power a Car.
C. The density of water is greater than that of Gasoline.
        choice: 
         (A)"
0, They stored food in the ground in summer ,"#statement:  They stored food in the ground in summer 

        Select the most corresponding reason why this statement is against common sense:
        A. They were eating food in the ground
B. Food should be stored in low temperature
C. They put their food in the ground
        choice: 
         C)They Put Their Fod In The Ground"
0, dogs can live underwater ,"#statement:  dogs can live underwater 

        Select the most corresponding reason why this statement is against common sense:
        A. dogs haven't organs to breath underwater
B. dogs can swim in the water
C. Some dogs hate the water
        choice: 
         (A)"
0, the family adopted a dinosaur to be their new pet ,"#statement:  the family adopted a dinosaur to be their new pet 

        Select the most corresponding reason why this statement is against common sense:
        A. the dinosaurs died out long ago
B. many different animals can make good pets
C. some dinosaurs are carnivorous animals
        choice: 
         D. it's not possible for humans and other living things on Earth today"
0, Something you find at the road is a t.v. ,"#statement:  Something you find at the road is a t.v. 

        Select the most corresponding reason why this statement is against common sense:
        A. Road is public place while the house is private
B. Road is for vehicles
C. No one watches t.v. on road.
        choice: 
         (A) The speaker assumes that something found in an open area like a street would be part of someone's home, which goes counter to what we typically think about things being located outside or inside"
0, Mowing the lawn requires zero people to accomplish the task. ,"#statement:  Mowing the lawn requires zero people to accomplish the task. 

        Select the most corresponding reason why this statement is against common sense:
        A. Mowing the lawn costs depends on the area of the lawn
B. You need at least one person, to mow the lawn.
C. He mowing the lawn himself in weekends
        choice: 
         B)You Need At Least One Person To Mow The Lawn"
0, It is easy to see the stars on a clear day. ,"#statement:  It is easy to see the stars on a clear day. 

        Select the most corresponding reason why this statement is against common sense:
        A. Stars are shining day and night.
B. Sunlight is many orders of magnitude brighter than starlight.
C. No stars are brighter than the sun for the earth.
        choice: 
         B"
0, she sipped a shoe ,"#statement:  she sipped a shoe 

        Select the most corresponding reason why this statement is against common sense:
        A. shoes are inedible
B. the shoe is small
C. shoes come in pairs
        choice: 
         (A) Shoe's aren’t edible, so it doesn’t make any sens to sip one"
0, Helicopters can speak English ,"#statement:  Helicopters can speak English 

        Select the most corresponding reason why this statement is against common sense:
        A. Helicopters flies lower than planes
B. Helicopters are noisy.
C. Helicopters cannot speak at all.
        choice: 
         C)Helicoterscannot speekatall"
0, A normal person has 4 arms ,"#statement:  A normal person has 4 arms 

        Select the most corresponding reason why this statement is against common sense:
        A. A normal person has 2 legs
B. Arms are shorter than legs
C. A normal person has only 2 arms
        choice: 
         (A)"
0, I finished my studies inside the sewer ,"#statement:  I finished my studies inside the sewer 

        Select the most corresponding reason why this statement is against common sense:
        A. A sewer is not a place to study
B. Homework is too many and a sewer is dirty
C. A study would not happen in a sewer
        choice: 
         (A)"
0, Eating loves me ,"#statement:  Eating loves me 

        Select the most corresponding reason why this statement is against common sense:
        A. eating is action
B. eating has no emotions
C. love is fake
        choice: 
         ( ) B"
0, The sun comes out at night ,"#statement:  The sun comes out at night 

        Select the most corresponding reason why this statement is against common sense:
        A. Sun never comes out at night,  the moon and stars do
B. At night,  you can not see the sun clearly
C. The moon reflects the light of the sun at night
        choice: 
         (A)"
0, You can use your eyes to eat ,"#statement:  You can use your eyes to eat 

        Select the most corresponding reason why this statement is against common sense:
        A. People should keep their eyes clean
B. people need to eat and see
C. People use mouth to eat and eyes to see
        choice: 
         B"
0, onions are grown in the tree ,"#statement:  onions are grown in the tree 

        Select the most corresponding reason why this statement is against common sense:
        A. onion layers are like tree rings
B. the tree was growing upper not like an onion
C. onions are not possible to grow in the tree
        choice: 
         B"
0, You can open a jar with your teeth. ,"#statement:  You can open a jar with your teeth. 

        Select the most corresponding reason why this statement is against common sense:
        A. Hair can be used in an emergency.
B. Hair is an emergency.
C. Opening a jar with your teeth is impossible.
        choice: 
         C)Opening a jar with youre teethisimpossible"
0, Beer that is drunk by humans is white ,"#statement:  Beer that is drunk by humans is white 

        Select the most corresponding reason why this statement is against common sense:
        A. white men like drinking beer
B. Beer is made of barley and it is a yellow drink
C. the man in white is drinking beer
        choice: 
         (A)"
0, You should leave the lights on when you leave the room. ,"#statement:  You should leave the lights on when you leave the room. 

        Select the most corresponding reason why this statement is against common sense:
        A. Some lights can be off automatically
B. The new technology of light can save electricity
C. Leaving the lights on is a waste of electricity
        choice: 
         (A)"
0, You can dance anywhere. ,"#statement:  You can dance anywhere. 

        Select the most corresponding reason why this statement is against common sense:
        A. It is imppropriate to dance in some places, like the library
B. There are specific place for people to dance
C. Some people don't know how to dance
        choice: 
         (A)"
0, A train is used for sailing ,"#statement:  A train is used for sailing 

        Select the most corresponding reason why this statement is against common sense:
        A. Trains travel on rails
B. A train has wagons
C. A train is a form of transport
        choice: 
         (A)"
0, The boy wore his new shoes on his back. ,"#statement:  The boy wore his new shoes on his back. 

        Select the most corresponding reason why this statement is against common sense:
        A. The bottom of shoes can be curved just like spines.
B. No one wears shoes on their backs.
C. Shoes are light and can be carried around.
        choice: 
         ( B )Noonewearsshoeonback"
0, He drinks energy drinks before sleeping ,"#statement:  He drinks energy drinks before sleeping 

        Select the most corresponding reason why this statement is against common sense:
        A. before praying,  he drinks some energy drinks
B. pray makes you relaxing while energy drinks make you energetic
C. Praying before sleeping is a  great way to sleep peacefully.
        choice: 
         B"
0, I use grass to cut my lawnmower. ,"#statement:  I use grass to cut my lawnmower. 

        Select the most corresponding reason why this statement is against common sense:
        A. Grass cannot cut a lawnmower.
B. Grass is green and the lawnmower is red.
C. Grass isn't sharp enough to cut a lawnmower
        choice: 
         (A)"
0, the owner of the restaurant apologized for the good customer service ,"#statement:  the owner of the restaurant apologized for the good customer service 

        Select the most corresponding reason why this statement is against common sense:
        A. almost any restaurant can benefit from good customer service
B. good customer service isn't a fault, so no one should apologize for it
C. To apologize to his friends, he invites them to a restaurant which offers good customer service
        choice: 
         B"
0, she eats a table for breakfast every day ,"#statement:  she eats a table for breakfast every day 

        Select the most corresponding reason why this statement is against common sense:
        A. eggs are usually small while tables are big
B. eggs are edible while tables are inedible
C. eggs do not come from tables
        choice: 
         C) Eggs don't come from tables"
0, Molly ordered the AC on ,"#statement:  Molly ordered the AC on 

        Select the most corresponding reason why this statement is against common sense:
        A. People turn on the AC when it is hot
B. Molly can't live without the AC in summer.
C. Molly cannot control the AC without touching it.
        choice: 
         (A)"
0, the comedian performed magic tricks ,"#statement:  the comedian performed magic tricks 

        Select the most corresponding reason why this statement is against common sense:
        A. the magician made the comedian disappear
B. the comedian doesn't like magic tricks
C. the comedian isn't usually a magician
        choice: 
         (A)"
0, SHE EAT A MOBILE PHONE ,"#statement:  SHE EAT A MOBILE PHONE 

        Select the most corresponding reason why this statement is against common sense:
        A. NO ONE EAT MOBILE PHONES
B. MOBILE PHONE IS USUALLY BLACK IN COLOR
C. MOBILE PHONE CANNOT EAT FOOD
        choice: 
         (A)NO one eat mobile phones"
0, Dolphins are fish. ,"#statement:  Dolphins are fish. 

        Select the most corresponding reason why this statement is against common sense:
        A. Dolphins are warm-blooded and breathe air, which are characteristics of mammals, and not fish.
B. Dolphins have fins.
C. Dolphins live in the ocean.
        choice: 
         (A)"
0," in summers, always the weather is cold. ","#statement:  in summers, always the weather is cold. 

        Select the most corresponding reason why this statement is against common sense:
        A. sometimes it can be a little cool in summer.
B. summers are the hot seasons.
C. Cold drinks are suitable for summer
        choice: 
         B) Summertime means warmth and sunshine; therefore option (A), ""in summers,"" does not make any logical or factual sense as there're no colds"
0, The animals bloomed in the spring ,"#statement:  The animals bloomed in the spring 

        Select the most corresponding reason why this statement is against common sense:
        A. Animals don't bloom like flowers
B. Animals can feed on flowers
C. Spring is the best season for many animals to find food
        choice: 
         (A)Animals don’t blossom as plants do, so option B does not make any logical or scientifically accurate connection between what follows “in” and how it relates back"
0, The stone can float on the water ,"#statement:  The stone can float on the water 

        Select the most corresponding reason why this statement is against common sense:
        A. wood and stone are different materials
B. Stones are too heavy to float on the water
C. You can find stones and water in the river
        choice: 
         (A) Wood And Stone Are Different Materials"
0, He hide a lion in the closet. ,"#statement:  He hide a lion in the closet. 

        Select the most corresponding reason why this statement is against common sense:
        A. The lions are yellow and the closet is red
B. The lions are smaller than the closet.
C. No owns lions as pets.
        choice: 
         (D) All of above"
0, A soldier shot with a guitar. ,"#statement:  A soldier shot with a guitar. 

        Select the most corresponding reason why this statement is against common sense:
        A. A guitar serves to make musical sounds.
B. Guitars are usually golden while revolvers are black.
C. A guitar cannot shoot with a revolver.
        choice: 
         (A)"
0, Breakfast is eating during the night. ,"#statement:  Breakfast is eating during the night. 

        Select the most corresponding reason why this statement is against common sense:
        A. Breakfast is the first meal of the day.
B. Many people don't eat breakfast now
C. The night comes after the day.
        choice: 
         (A)"
0, It is easy to find seashells in the forest ,"#statement:  It is easy to find seashells in the forest 

        Select the most corresponding reason why this statement is against common sense:
        A. the trees are bigger than the seashells
B. seashells don't grow on trees
C. the seashells are harder than the trees
        choice: 
         B"
0, She went to college to learn how to drive a car ,"#statement:  She went to college to learn how to drive a car 

        Select the most corresponding reason why this statement is against common sense:
        A. College is too expensive for most people
B. She would never qualify for college
C. Colleges do not typically give driving lessons
        choice: 
         (A)"
0, He can fly. ,"#statement:  He can fly. 

        Select the most corresponding reason why this statement is against common sense:
        A. People have no wings so that they can not fly
B. Person can not catch the bird flying in the sky easily
C. people have different desires
        choice: 
         B"
0, The library is under a river downtown ,"#statement:  The library is under a river downtown 

        Select the most corresponding reason why this statement is against common sense:
        A. Libraries aren't built under rivers
B. the Library is near a river
C. A man-made river is in the library
        choice: 
         B)theLibraryisnearariver"
0, short is life ,"#statement:  short is life 

        Select the most corresponding reason why this statement is against common sense:
        A. short is not a timeframe
B. Some people don't think their lives are short
C. a day is shorter than a year
        choice: 
         (A) Short isn’t really defined as an amount of time, so it can be hard to say that any particular length of time qualifies for being “short”."
0, Water is not healthy. ,"#statement:  Water is not healthy. 

        Select the most corresponding reason why this statement is against common sense:
        A. Most of the human body is made up of water.
B. The earth is roughly 70% covered in water.
C. Water is essential to all life like air, and is vital.
        choice: 
         (A)"
0, eating trash food every day makes you stronger ,"#statement:  eating trash food every day makes you stronger 

        Select the most corresponding reason why this statement is against common sense:
        A. trash food usually tastes good
B. eating trash food will make you feel happy
C. eating trash food every day makes your body fat and weak
        choice: 
         C) Eating trash food everyday can lead to weight gain, which in turn may cause a decrease in strength due to excessive load on joints & muscles"
0, People like to eat land ,"#statement:  People like to eat land 

        Select the most corresponding reason why this statement is against common sense:
        A. there is some food on the land
B. People don't eat earth as food
C. People can't eat dirt
        choice: 
         B"
0, The reality readers live in is the same as the fictitious worlds authors create in fiction novels. ,"#statement:  The reality readers live in is the same as the fictitious worlds authors create in fiction novels. 

        Select the most corresponding reason why this statement is against common sense:
        A. the fiction describes a world that does not exist
B. The fictitious world's authors create can be the reflection of the author's real world.
C. The fictitious worlds in novels are created by authors for readers in the real world.
        choice: 
         (D) all options above"
0, He rides rockets all days ,"#statement:  He rides rockets all days 

        Select the most corresponding reason why this statement is against common sense:
        A. Rockets are much bigger than a bike
B. Rockets are not common transportation tools
C. Rockets are more expensive than a bike
        choice: 
         (A)"
0, Planes float on water. ,"#statement:  Planes float on water. 

        Select the most corresponding reason why this statement is against common sense:
        A. planes are bigger than the small boat
B. Planes fly in the sky, and boats float on water
C. he owns private planes and boats
        choice: 
         B"
0, I can lit a car ,"#statement:  I can lit a car 

        Select the most corresponding reason why this statement is against common sense:
        A. people can drive a car
B. she lifts a book onto her car
C. A car is too heavy for people to lift up
        choice: 
         B"
0, standing up for long hours is relaxing ,"#statement:  standing up for long hours is relaxing 

        Select the most corresponding reason why this statement is against common sense:
        A. standing up can keep you slim
B. you must stand up when your name is called out
C. standing up for a long time will make your body tired
        choice: 
         C) Standing upright for an extended period of time may cause fatigue and discomfort, which contradicts with idea that it's ""relaxing""."
