,Unnamed: 0,statement,choice
191,0, A COW EAT A MOUNTAIN ,B
192,0, You can only find fish in the ocean ,B
193,0, Boats can be used for road drives ,B
194,0, My sister is a male ,C
195,0, the fish live in computers. ,B
196,0, he put a horse in the cage ,A
197,0, I will never die. ,A
198,0, Whales can fly ,A
199,0," When people cry,  tears come out of their ears ",C
200,0, There is a car in her purse ,C
201,0, The human died because it ran out of juice. ,B
202,0, the lion likes ice cream ,B
203,0, You are likely to find Rice bags in a shoe shop ,C
204,0," After cutting my hair, the barber shoveled snow that had fallen on the floor ",B
205,0, The boy sucked on the popsicle with his nostril. ,B
206,0, People may consider you polite if you do not say please when asking for something. ,B
207,0, He put his pants on a horse ,B
208,0, A scholar is well-payed ,C
209,0, Cats are bipedal creatures ,B
210,0, the clock shows animals ,A
211,0, he had Michael Jordan at the game ,C
212,0, He sent some messages from the WhatsApp mobile application by his shoes ,B
213,0, A teacher is writing in the board by Blade ,C
214,0, A stop sign is always white ,C
215,0, Abuse is good and fun ,A
216,0, Fruit needs people to live ,B
217,0, she was met with an accident and was rushed to the library ,B
218,0, Orange juice is made from beans ,C
219,0, He opened the bottle to read it ,B
220,0, I am going for my family tour in one cycle ,C
221,0, he fed boulders to the monkey ,B
222,0," Read a book and you'll be thrown into a world of lions, witches, and wardrobes, and have to fight for your life! ",B
223,0, She saw a boat flying over the river ,B
224,0," the dog growled, then taught the boy ",C
225,0, Restaurants are places to cook your dinner. ,B
226,0, The child studied a lot to open a door. ,A
227,0, he put a bear into a pot ,C
228,0, The protein bar ate me ,C
229,0, My child likes to wear her bathing suit to school. ,C
230,0, Anthony decided that he will kick the warm glass of water to the fridge. ,B
231,0, People can breathe in outer space without any mechanical aid or protection. ,B
232,0, my son has four big hands ,C
233,0, detergents are used in an investigation ,B
234,0, she put the cat in the bowl ,C
235,0, she put the giraffe in the freezer ,C
236,0, relatives bark at the dog ,B
237,0, She put some money in the oven. ,B
238,0, He shucked a fish ,B
239,0, the ink ran out of the pen ,C
240,0, My heater cools a lot ,C
241,0, I STOLE A BLUE CORVETTE ,A
242,0, She is too timid so she loves to watch horror movies ,B
243,0, boys wear bra to provide support to their breasts ,C
244,0, The waterfall flowed up sending the children to the top of the rock. ,B
245,0, Joe wanted something to eat. He decided to drink a soccer ball. ,B
246,0, the dog gave birth to hotdogs ,C
247,0, Basketball is played with the feet ,A
248,0, he swims with piranhas ,C
249,0, Flowers only need dirt to grow and nothing else. ,B
250,0, dolphins are fast to fly ,C
251,0, We bought a painting from the farmer. ,B
252,0, she put the car in the dog ,B
253,0, going to the gym does not help you stay healthy ,C
254,0, Japan is the main currency used in Yen. ,B
255,0, Salt quenches thirst. ,B
256,0, I tied my shoelaces with my shoulders ,C
257,0, Something you find in a desk is tigers. ,C
258,0, He went to a lawyer to cure his sickness ,C
259,0, The bottle drunk out of the baby. ,C
260,0, Most kangaroos run on gasoline ,C
261,0, Swimming is a common winter activity ,B
262,0, the man took his door to the dry cleaner ,B
263,0, The stove walk to the fire ,B
264,0, the cow eats the bike ,B
265,0, all watermelons have seeds ,A
266,0, Schools often have operation theater ,B
267,0, She put water in a cage ,C
268,0, Cars stop at a green light. ,B
269,0, A cat dropped from a plane wearing a parachute will land on the tip of its' tail. ,B
270,0, He runs his heater when it's hot outside ,B
271,0, Sweating is a body mechanism to look cool ,B
272,0, every person take stones for breakfast ,C
273,0, I put bricks into the washing machine. ,C
274,0, Jimmy got his leg bitten off by a kitten ,A
275,0, the Internet will disperse people ,B
276,0, She put a building in the bucket. ,C
277,0, Video game consoles can be seen without contact lenses only ,A
279,0, he turned the table on ,C
280,0, he installed the carpet on the lake ,B
281,0, She erased a campfire with an eraser. ,B
282,0, The rotary phone recorded me. ,B
283,0, I live 100 miles from Saturn. ,B
284,0, He pet his pterodactyl gently ,C
285,0," If it's dark,  I must put the light off. ",B
286,0, she baked a horse at Christmas ,B
287,0, bananas are addicted to my husband ,C
288,0, I walk without moving ,C
289,0, Mammals include alligators ,A
290,0, Mathematicians can play football very well ,B
291,0, She can make the rainfall. ,C
292,0, Observatories are located at the bottom of the ocean. ,C
293,0, She put a stove on the plate. ,C
294,0, smoking will cherish your health ,A
295,0, If I want ride a motorcycle I needn't wear the helmet. ,B
296,0, The human is the fastest mammal on the planet ,C
297,0, The robot felt sad ,A
298,0, Babies are unaware of their surroundings and reap no harm from the negativity around them. ,B
299,0, The 3-day old newborn baby walked to the car. ,B
300,0, There is peace during war ,A
301,0, Ice is a highly concentrated form of nutrition. ,B
302,0, the smartphone is a device used for transportation ,C
303,0, a banana contains more water than a watermelon ,C
304,0, She fell up the stairs and broke her knee ,C
305,0, I got ready for bed so I drank a cup of coffee ,C
306,0, the man fed the mouse a snake ,B
307,0, A neighbor is a person who lives far from you ,B
308,0, the pharmacy sell pets ,B
309,0, The sky is orange ,C
310,0, my brother waters his phone every morning ,C
311,0, she drives the public bus to school ,B
312,0, the driver accelerates when seeing the red signal ,B
313,0, the snake runs on his feet ,C
314,0, the moon is falling from the sky ,C
315,0," if you don't brush your teeth, you get dark ",A
316,0, my sister flies to work today ,B
317,0, Eating pizza requires a masters degree ,C
318,0, He put a gorilla into a box ,B
319,0, My son had us write an essay on The National Monument. ,B
320,0, Artificial flowers in my flower vase wilts soon ,B
321,0, I play games on my shoes ,B
322,0, He walked a rock in the park ,B
323,0, A cat eats a building ,C
324,0, grass grows in the water ,B
325,0, the store is for learning ,B
326,0, she cooked mosquitos and ants for dinner ,C
327,0," At the restaurant, police came for taking orders ",C
328,0, dogs are social animals who prefer a solitary existence to live in a pack ,B
329,0, milk like a baby ,B
330,0, you are able to use a brick as a bookmark ,B
331,0, The man is a rubber ,C
332,0, Jill received a bill from the moon ,C
333,0, You can sell a baby on Facebook ,C
334,0, we can touch the rainbows ,B
335,0," if it doesn't rain for a long time, the earth will get very wet ",B
336,0, The dog hates his hoster ,B
337,0, I hide successfully behind a book ,C
338,0, You can send the book by email ,B
339,0, The dog yelled at the man. ,B
340,0, An x-ray can be used to see people without clothes. ,C
341,0, He drives cupboard well ,C
342,0, Tacos was Johnny's favorite drink ,B
343,0, He ties his socks before leaving for his flight ,B
344,0, She shaved her eyes. ,B
345,0, The snake ate the elephant. ,B
346,0, Ocean water runs into the river ,C
347,0," Sean is a hard-working guy, so he plays phone games the whole day ",C
348,0, A notebook can work with being plugged in ,B
349,0, Walking is faster than driving ,C
350,0, The man went to jail after eating candy. ,B
351,0, I am throwing hello ,C
352,0, There was a boy with glasses flying on a broomstick. ,B
353,0, A tiger is wearing pants. ,C
354,0, he had a toothache so he went to a car salesman ,B
355,0, The air is tasty ,C
356,0, fire can burn without oxygen ,B
357,0, All frogs can fly in the sky just like birds. ,B
358,0, I saw my friend's car dancing ,C
359,0, you can post the letter without any stamps ,B
360,0, my sister went to the desert to fetch water ,B
361,0, The book returned the girl to the library. ,C
362,0, I have two necks. ,B
363,0, American Football balls are round. ,B
364,0, salsa is blue ,C
365,0, He buys a new tv every day ,B
366,0, Birds make nest everyday in bedroom closets. ,B
367,0, Snowmobiles wear snowsuits to stay warm in the wintertime. ,B
368,0, Something that might happen while bathing is your shirt becomes wet. ,B
369,0, My boat hauls my truck. ,B
370,0, A hole will make a boat float ,C
371,0, He drove up the stairs to the bedroom ,C
372,0, She put a motorcycle on the table. ,C
373,0, cats eat dog food ,B
374,0, Film making can be a single job in the summer ,B
375,0, He picked up his piano and played a chord ,B
376,0, she puts hot grease into a cup ,C
377,0, The pot takes a variety of herbs for flavor. ,B
378,0, Mary won the race tomorrow ,B
379,0, I watered the orange juice ,B
380,0, Food gets hotter as you leave it out ,B
381,0, I wear my gloves on my feet. ,C
382,0, Amy swam to Texas to see Austin ,C
383,0, Texas is snowing in the summer. ,A
384,0, smoking is good for health ,B
385,0, They grabbed a dinosaur from the drawer. ,B
386,0, Pigs lay eggs ,C
387,0, the sun comes from sunlight ,B
388,0, The bike overtake the car ,B
389,0, The doctor smashed the patient's broken bone. ,C
390,0, a blue painting is floating in air ,C
391,0, Lotion is useful for moisturizing your tea. ,B
392,0, sitting on the barbed wire is more comfortable than sitting on a stool ,C
393,0, The whale was found in the forest ,A
394,0, You must eat lots of fats and sugar to stay healthy. ,C
395,0, A diet high in sugar is mandatory ,C
396,0, the clothes are running away ,B
397,0, The cheetah washed up on the beach ,B
398,0, Watching sports is fun for all people ,C
399,0, You die twice. ,C
400,0, Broken glasses help you see better. ,B
401,0, He answers a call on his banana. ,B
402,0, An airplane swims in the water. ,B
403,0, Elephants are the smallest land mammals. ,C
404,0, He swam in petrol ,B
405,0, Men are more intelligent than women ,A
406,0, She throws bananas at caretakers at the zoo all day. ,B
407,0, People who start fires are pyromaniacs. ,B
408,0, He put a dinosaur into the pool ,C
409,0, Girls are taller than boys on average ,C
410,0, Dory moves the desk with her fin. ,B
411,0, he put a piece of plastic on the bread ,B
412,0, People get fat during famines. ,B
413,0, Planting salt in California contributes to providing more drinkable water for that area. ,B
414,0, my mother cooked the stone ,B
415,0, You can use a Hospital to sleep while away from home ,C
416,0, MY SISTER PREPARE A SANDWICHES WITH CHALKS. ,B
417,0, Puja almost works 25 to 30 hours every day. ,B
418,0, Due to global warming the temperature becomes lower ,B
419,0, He parked his train in his house ,B
420,0, He waited for his flight at the bus stop ,B
421,0, Widow is an opening in the wall or roof of a building or vehicle ,B
422,0, Children should eat their parents. ,B
423,0, there is some water eating on the lawn ,B
424,0, a duck has two hands ,B
425,0, The doctor failed medical school ,B
426,0, The elephant is pink. ,B
427,0, She puts dirty clothes in the cabinet ,B
428,0, He borrowed a grinder from the library ,C
429,0, he added pepper to his coffee ,B
430,0, Dogs have hooves. ,B
431,0, We don't communicate with each other at all ,B
432,0, he put a hat inside of his head ,A
433,0, He put all plates in the washing machine to clean ,B
434,0, You should iron your clothes before you wash them ,B
435,0, he kept shoe in the fridge ,B
436,0, Carol turned on the potato ,B
437,0, she got off the cruise ship at the crossroad ,C
438,0, he purchased lime and cement to prepare sandwiches for dinner ,B
439,0, shirts are clothes that birds wear ,C
440,0, He wears an umbrella on his head. ,A
441,0, The sun is very cold. ,A
442,0, he carried a whale in his car ,B
443,0, He went to fishing in the Jeep to the desert. ,B
444,0, the ripe apples taste spicy ,B
445,0, the two-years-old baby drove her father daycare ,C
446,0, I can drink bleach instead of water ,B
447,0, She went for a run on the Sun. ,B
448,0, the room is a nice place to jog ,C
449,0, The black owl is red ,B
450,0," Yesterday, a dinosaur chased me. ",B
451,0, My son placed his school locker on his dresser. ,B
452,0, the farmers live on a cloud ,B
453,0, Wallets are typically used to hold spider eggs and denim. ,C
454,0, Janitors create financial models for their company ,B
455,0, She took a live giraffe from the shelf. ,C
456,0, She put a child into the oven ,C
457,0, She cut down the grass with a chainsaw ,B
458,0, he swam on the track ,B
459,0, This girl made a horrible time-lapse ,B
460,0, the little girl howled at the wolf ,B
461,0, He wrote a book by breaking his pen. ,C
462,0, I oiled the floors. ,B
463,0, He turned on the TV with the VCR. ,B
464,0, the man put on his airplane ,C
465,0, The woman dyes her feet every six weeks at the salon. ,C
466,0," if you break the law, you will receive a reward ",B
467,0, The Pokemon caught Ash ,B
468,0, the person was connected to the mixing console ,C
469,0, I use grass to cut my weed whacker. ,C
470,0, He buy a planet. ,B
471,0, A fan can sleep ,B
472,0, one hundred people enter in the car ,B
473,0, I ride a car on the ocean ,B
474,0, You can ride the subway in the country. ,B
475,0, She put a cat in the cup. ,B
476,0, He used the mop to clean the carpet. ,C
477,0, the mobile phone is one of the food ,B
478,0, Houses are found in lakes. ,B
479,0, A dead man still has many senses ,B
480,0, Put the baby in the driver seat. ,B
481,0, He uses dumbbells for data typing work. ,B
482,0, it is safe to touch liquid nitrogen ,A
483,0," The ant stepped on the child, which killed it. ",C
484,0, He opened a can opener with a can opener. ,C
485,0, James put the babies in the dog house. ,B
486,0, he put a cat in the freezer ,A
487,0, The elephant jumped into the car. ,B
488,0, crackhead does not take drugs ,B
489,0, Leena eats almost 1000 bananas daily as his morning breakfast. ,B
490,0, An electrician generates electricity. ,B
491,0, he was swimming in Hawaii ,C
492,0, scissors are used to cut through rivers ,A
493,0, A sandwich eats me. ,C
494,0, Daniel performed woefully behind others because he's the most intelligent and brilliant in his class ,A
495,0, The Management People were happy hearing the Protest news ,C
496,0, She put a pig in her pocket. ,C
497,0, The cow went to college to study art. ,A
498,0, Asia is part of Dubai ,C
499,0, She takes a bath after wearing her running shoes. ,A
500,0, A FISH WALKS IN THE STREET ,B
501,0, surveys have been known to harm children ,B
502,0, Women are usually larger than men. ,A
503,0, dinner is for dancing at ,C
504,0, The best wood is made out of metal. ,B
505,0, Roses are blue and violets are red ,B
506,0, The kangaroos are common to every continent. ,A
507,0, dancers just arrived at the accident scene to rescue the victims ,A
508,0, Sandwich made a turkey. ,C
509,0, My father can take a high jump up to 200m. ,C
510,0, Heaven is horrible ,B
511,0, She went to the museum next weekend. ,B
512,0, I was on date with lion yesterday. ,B
513,0, My mom always cuts my fish's hair. ,B
514,0, It is OK to take hot things out of the oven without using an oven mitten. ,B
515,0, He put a pony in the lock. ,C
516,0, Banks lend money without any interest ,C
517,0, He drinks white glue in breakfast ,B
518,0, Peter is sleeping towards the bus stop ,B
519,0, The teachers scolded the principal. ,C
520,0, He put on a bike. ,C
521,0, She put the filing cabinet into the papers. ,B
522,0, My bird is about forty feet tall. ,B
523,0, No one drinks milk because you cannot absorb nutrients from it. ,C
524,0, He cut the onion with a spoon ,A
525,0, The man who flies a plane is called a conductor. ,C
526,0, He is wearing gloves on his feet. ,C
527,0, Grizzly bears hate honey. ,A
528,0, He left the cat in the kennel. ,B
529,0, Traveling by teleporting can take quite a long time. ,B
530,0, The frog has claws and a stinger on its tail. ,B
531,0, peoples use a handkerchief for eyes while the bike rides ,B
532,0, Thanks for giving days starts the new year ,B
533,0, The counter fell off the lamp ,C
534,0, He can cook a whole elephant in a frying pan ,B
535,0, Rocks may float when placed in water. ,A
536,0, he likes to drink motor oil ,B
537,0, The bowling ball is swimming in the pond. ,B
538,0, He put bricks in the oven for baking ,B
539,0, he kept his prized horse in his pocket and had it taken care by a florist ,B
540,0," It might rain later today,  be sure to grab your breakfast before you leave. ",B
541,0, We do not use the internet in today's generation. ,C
542,0, There are top hats in the freezer ,C
543,0, Most people sleep in a shoe. ,B
544,0, Many ships are sunk when they enter Canada. ,C
545,0, the fish is fishing ,B
546,0, He put the basketball inside a cup ,B
547,0, The last thing you do when you leave the home is curling your hair. ,C
548,0, She washed the car in the sink. ,B
549,0, the baby held a grizzly bear ,B
550,0, She hung a post-it note on her pin-board using a cockroach ,B
551,0," It was an August morning when Jessica,  a receptionist living in Toronto,  decided to wear her snowsuit to work. ",A
552,0, He flew the airplane to Jupiter ,A
553,0, The sky is underground ,C
554,0, Its cooler in Arizona than anywhere in the USA. ,A
555,0, A graphics tablet enables VR games to be played on a computer ,B
556,0, My sister visited art museum with her zebra ,C
557,0, the library has only one storybook ,A
558,0, Jack lost his giraffe ,B
559,0," Dogs can come in many different colors such as red, blue, and green. ",C
560,0, She put an ice cream in the oven. ,A
562,0, He put a motorcycle in his wallet ,B
563,0, Video games are not fun ,A
564,0, She was drinking from a plate ,C
565,0, My car is going to the church service ,B
566,0, She was interviewed after she got the offer ,C
567,0," if he is retarded,  he will pass the examination ",B
568,0, we drove our car for 40000 miles before having to stop for an oil refill ,C
569,0, The woman had her hair cut at the hardware store. ,C
570,0, You are likely to find Rice bags in shoe shops ,B
571,0, She came off walking across the Pacific ocean ,B
572,0, A rainbow can appear on the ground ,C
573,0, Birds do not fly ,B
574,0, she threw the football to the batter ,C
575,0, You are unlikely to ever find a book in the library. ,A
576,0, He put a snake on pizza. ,C
577,0, I sliced the strong meat with my Kitchen spoon. ,B
578,0, The giraffe likes to ride  bicycle ,B
579,0, She started a fire in the fridge. ,B
580,0, School is where animals go to dance ,B
581,0, Drinking beers makes the girl become an alien ,B
582,0, if you want to have a pear then you should go to the toilet ,C
583,0, Colgate is a brand of beer ,B
584,0, She made a clown make a shirt ,B
585,0," For Lunch, I made an armadillo sandwich for my husband. ",B
586,0, I wore a notebook to work. ,C
587,0, An old car is expensive. ,B
588,0," if you want fresh fruits and vegetables, you should destroy them ",C
589,0, I want a dirty house ,B
590,0, Cat runs faster than a cheetah ,B
591,0, All mammals have fingerprints. ,B
592,0," If it is a sunny day, you would have gotten wet ",A
593,0, she ran toward the dangerous-looking man in the alley ,C
594,0, Cats played cards last night. ,B
595,0, Leafs are useless ,B
596,0, you can go swimming and fishing at a zoo ,C
597,0, Elephants life at the north-pole. ,B
598,0, I decided to pack my microwave into my suitcase ,C
599,0, Doctors do not have to study too much ,C
600,0, A brave cat saved a drowning child this morning at Zion Beach! ,B
601,0, He put a giraffe in the pantry. ,B
602,0," It was very hot,  so she put on her snowsuit and then ran and jumped into the pool. ",B
603,0, I close my eyes to drive safely ,C
604,0, my boyfriend drinks diesel after breakfast every day ,C
605,0, I and the goats had a nice barbecue yesterday ,C
606,0, There are whales in a big city ,C
607,0, she put the ice cream in the oven ,A
608,0, The vegetarian ate a big dinner of horse meat and vegetables from the garden. ,B
609,0, London goes in this bus. ,B
610,0, Alcoholic drinks are served in bowls. ,B
611,0, he went up a valley ,C
612,0, the fire is cold ,A
613,0," If you do your job badly, you will get paid regardless ",B
614,0, You are likely to find chocolate in the wild. ,B
615,0, a bulb is used to cool the room ,C
616,0, I just deposited ten tigers in the banks and will get doubled in six years. ,B
617,0, Going to the movie is fun for animals. ,B
618,0, My neighbor is a fish. ,B
619,0, A man walked from his home to the moon. ,C
620,0, people often use flowers to remind them of important events ,B
621,0, The blind girl saw the red car. ,B
622,0, Apples can only be found in orchards. ,B
623,0, a turkey is a pig ,B
624,0, Sound is always faster than light ,B
625,0, The woman eats a wooden sandwich. ,B
626,0, She throws a stove in the hat. ,B
627,0, the neighbor park their car in the middle of the street ,A
628,0, I put many elevators in the car ,B
629,0, The man at the beach. ,B
630,0, Humans do not eat food. ,C
631,0, It is beautiful to stay hydrated ,B
632,0, She used water to make the campfire. ,A
633,0, cars are the only way to get around ,B
634,0, The soccer player kicked a football into the goal. ,B
635,0, The groom threw the bridal party at the bride ,C
636,0, fishing nets are useful for covering a window ,A
637,0, The house shoved him ,C
638,0, You will probably find a front condo in a room. ,B
639,0, The primary school did not accept members under the age of forty ,A
640,0, The farm is in carpet ,C
641,0, Billy kicked the frisbee into the goal ,B
642,0, she bought two supermarket tickets ,C
643,0, HE PUT A CUPBOARD IN THE OVEN ,B
644,0, the boy fed the fish with a ball ,B
645,0, she keeps the camel inside the fridge. ,B
646,0, The boy kicked the house. ,B
647,0, Spatulas are great for both hiking and fishing. ,B
648,0," there are only 3 colors, red, yellow and blue ",B
649,0, my brother speaks to the house ,B
650,0, he put an airplane on the bed ,B
651,0, I hike on surfboards. ,B
652,0, He was in the backyard in Minnesota growing some burgers. ,B
653,0, Smartphone is a device used for transportation ,C
654,0, He dried himself with a train ticket ,C
655,0, Milk contains alcohol. ,C
656,0, Books are piglets with flowers in their hair ,C
657,0, She strictly does not allow food into her house ,B
658,0, My uncle runs over the waters on weekends. ,B
659,0, A fish was walking on the roadside ,C
660,0, Pens are for painting ,B
661,0," After driving for fifteen minutes, he turned on the ignition. ",B
662,0, A television is something that you seat on daily. ,B
663,0, He took the giraffe to the store ,B
664,0, She turned in her homework five years after it was due and got full credit ,B
665,0, she put a horse in the washing machine ,C
666,0, Basketball is played with pianos ,B
667,0, He closed the blinds because it was too dark ,C
668,0, Plants need motor oil. ,B
669,0, He put a shark into the fridge. ,B
670,0, she went to buy a toothbrush at a flower shop ,B
671,0, The cat drank milk in the duck. ,C
672,0, Reading to your children can make them stronger ,B
673,0, She put her shoes on the stove in the morning. ,B
674,0, She taught Spanish to her lilac bush. ,C
675,0, He placed the table on top of the pencil ,B
676,0, grandparents don't love their children ,B
677,0, Her mom messed up her daughter's hair. ,B
678,0, My window speaks very well. ,B
679,0, Jumping is very important. ,B
680,0, The kid took her mother to the school ,B
681,0, Hats can protect you from an accident ,B
682,0, he hit a helicopter over the flag ,C
683,0, I eat rocks every day for lunch. ,B
684,0, The lizard climbed the ocean. ,B
685,0, A grapefruit is bigger than a pumpkin. ,B
