,Unnamed: 0,statement,choice
104,0, He rides rockets all days ,A
105,0, Planes float on water. ,B
106,0, I can lit a car ,B
107,0, standing up for long hours is relaxing ,C
108,0, A stove sits on a pan ,B
109,0, I would like to fry a laptop ,A
110,0, The goldfish ate a cat. ,A
111,0, I put the leftover food in the oven. ,B
112,0, Lasagna is often eaten during movies. ,A
113,0, You are more likely to overeat on a full stomach. ,B
114,0, the cow had a significant amount of rust ,B
115,0, She turned the sun off. ,A
116,0, I need to heat up some water using the refrigerator ,B
117,0, The bird rented a room ,A
118,0, he always wins the lottery ,C
119,0, The apple is a well-designed vehicle. ,A
120,0, people usually have their lunch in the morning ,A
121,0, The man slipped on the gentle breeze ,B
123,0, He went to a petrol station to write the exam ,A
124,0, only eating fried food makes your diet healthier ,B
125,0, Amazon has gone bankrupt ,A
126,0, her favorite organ is the telephone ,A
127,0, The man went to the doctor because he needed to buy bread ,B
128,0, Fish swim in sand. ,A
129,0, lead is not poisonous ,A
130,0, He put the cat in the fridge ,A
131,0, To be a doctor you must only obtain the faith and trust of your patients. ,A
132,0, he put a giraffe on the back of his bike ,A
133,0, War is a good thing and benefits everyone. ,C
134,0, graphs have been known to cause cancer ,A
135,0, The worm swallowed the bird. ,A
136,0, he put some cooking oil in his wine ,A
137,0, I saw an elephant on a bicycle. ,B
138,0, the cow flew away ,B
139,0, the TV program entertains the fish ,A
140,0, Jerry has orange serfs with flamingos printed on them. ,A
141,0, His glasses are clear so he wipes them clean ,B
142,0, Zebra swim in the water ,A
143,0, he went for a walk in the woods and was bitten by a shark ,B
144,0, Some chocolate bars are molded metal. ,A
145,0, He puts the monkeys in the cup. ,A
146,0, The refrigerator cleaned the dirty clothes ,A
147,0, An apple took a bite out of him. ,B
148,0, He put a car into a fridge ,A
149,0, Winter is a good time to wear short dresses. ,A
150,0, An anvil is floating in the pond. ,A
151,0, He rides his apple. ,B
152,0, It usually snows in Cuba ,C
153,0, The park ran to him ,B
154,0, he put a semi-truck engine in the s2000 ,B
155,0, Zookeeper is working at the hospital ,A
156,0, The boy broke his tooth on a banana pit. ,A
157,0, He wrote a book by signing ,A
158,0, winter comes in the same time each year ,A
159,0, The video game ran away. ,A
160,0, Hair can be cut at the pharmacy. ,A
161,0, when it is hot humidity forms ,B
162,0, Snowmen are made of sand. ,A
163,0, he put the house into the fridge ,B
164,0, City Hall adjusted to man's view ,C
165,0, she drove a pencil ,B
166,0, I enter in a bottle ,A
167,0, she eats a pillow after her workout ,A
168,0, It is cold and hot outside ,C
169,0, The girl broke her lamp while ice skating. ,A
170,0, It is good to drink saltwater at night ,A
171,0, The boy won the race with a cheetah ,B
172,0, A home is a place for violence. ,A
173,0, I hung a horse in my hallway. ,C
175,0, Children go to school to laugh ,A
176,0, She flew to church in her new car ,B
177,0, Blackberries and strawberries are the same. ,A
178,0, Freshwater fish can live in the ocean. ,A
179,0, The men are mowing the lawn because it is raining. ,A
180,0, I took 300 Tylenol tablets to cure my headache. ,A
181,0, Wheels are delicious for human taste ,A
182,0, CNN is for sports ,A
183,0, Going to a place that is too far to walk requires good tennis. ,A
184,0, She flies to the school everyday morning ,B
185,0," That morning, Kate had dinner and left for work ",B
186,0, The wind pushes the tree upright ,B
187,0, Circuses only have animals ,A
188,0, You need to see to write on paper. ,A
189,0, the chair plays video games ,A
190,0, robots are omniscient such as humans ,A
191,0, A COW EAT A MOUNTAIN ,A
192,0, You can only find fish in the ocean ,A
193,0, Boats can be used for road drives ,B
194,0, My sister is a male ,A
195,0, the fish live in computers. ,A
196,0, he put a horse in the cage ,A
197,0, I will never die. ,A
198,0, Whales can fly ,B
199,0," When people cry,  tears come out of their ears ",A
200,0, There is a car in her purse ,A
201,0, The human died because it ran out of juice. ,B
202,0, the lion likes ice cream ,B
203,0, You are likely to find Rice bags in a shoe shop ,A
204,0," After cutting my hair, the barber shoveled snow that had fallen on the floor ",A
205,0, The boy sucked on the popsicle with his nostril. ,B
206,0, People may consider you polite if you do not say please when asking for something. ,B
207,0, He put his pants on a horse ,B
208,0, A scholar is well-payed ,B
209,0, Cats are bipedal creatures ,B
210,0, the clock shows animals ,A
211,0, he had Michael Jordan at the game ,B
212,0, He sent some messages from the WhatsApp mobile application by his shoes ,A
213,0, A teacher is writing in the board by Blade ,A
215,0, Abuse is good and fun ,A
216,0, Fruit needs people to live ,A
217,0, she was met with an accident and was rushed to the library ,B
218,0, Orange juice is made from beans ,A
219,0, He opened the bottle to read it ,A
220,0, I am going for my family tour in one cycle ,B
221,0, he fed boulders to the monkey ,A
222,0," Read a book and you'll be thrown into a world of lions, witches, and wardrobes, and have to fight for your life! ",A
223,0, She saw a boat flying over the river ,B
225,0, Restaurants are places to cook your dinner. ,B
226,0, The child studied a lot to open a door. ,A
227,0, he put a bear into a pot ,C
228,0, The protein bar ate me ,A
229,0, My child likes to wear her bathing suit to school. ,A
230,0, Anthony decided that he will kick the warm glass of water to the fridge. ,A
231,0, People can breathe in outer space without any mechanical aid or protection. ,A
232,0, my son has four big hands ,C
233,0, detergents are used in an investigation ,A
234,0, she put the cat in the bowl ,C
235,0, she put the giraffe in the freezer ,A
236,0, relatives bark at the dog ,B
237,0, She put some money in the oven. ,A
238,0, He shucked a fish ,B
239,0, the ink ran out of the pen ,B
240,0, My heater cools a lot ,B
241,0, I STOLE A BLUE CORVETTE ,A
242,0, She is too timid so she loves to watch horror movies ,B
243,0, boys wear bra to provide support to their breasts ,A
244,0, The waterfall flowed up sending the children to the top of the rock. ,A
245,0, Joe wanted something to eat. He decided to drink a soccer ball. ,A
246,0, the dog gave birth to hotdogs ,A
247,0, Basketball is played with the feet ,A
248,0, he swims with piranhas ,A
249,0, Flowers only need dirt to grow and nothing else. ,A
250,0, dolphins are fast to fly ,A
251,0, We bought a painting from the farmer. ,A
252,0, she put the car in the dog ,B
253,0, going to the gym does not help you stay healthy ,A
254,0, Japan is the main currency used in Yen. ,A
255,0, Salt quenches thirst. ,B
256,0, I tied my shoelaces with my shoulders ,B
257,0, Something you find in a desk is tigers. ,A
258,0, He went to a lawyer to cure his sickness ,A
259,0, The bottle drunk out of the baby. ,A
261,0, Swimming is a common winter activity ,A
262,0, the man took his door to the dry cleaner ,A
263,0, The stove walk to the fire ,A
264,0, the cow eats the bike ,A
265,0, all watermelons have seeds ,A
266,0, Schools often have operation theater ,A
267,0, She put water in a cage ,C
268,0, Cars stop at a green light. ,A
269,0, A cat dropped from a plane wearing a parachute will land on the tip of its' tail. ,A
270,0, He runs his heater when it's hot outside ,B
271,0, Sweating is a body mechanism to look cool ,B
273,0, I put bricks into the washing machine. ,A
275,0, the Internet will disperse people ,B
276,0, She put a building in the bucket. ,A
277,0, Video game consoles can be seen without contact lenses only ,A
278,0, I talked to my friend in the bark. ,A
279,0, he turned the table on ,B
280,0, he installed the carpet on the lake ,B
281,0, She erased a campfire with an eraser. ,A
282,0, The rotary phone recorded me. ,A
283,0, I live 100 miles from Saturn. ,A
284,0, He pet his pterodactyl gently ,C
285,0," If it's dark,  I must put the light off. ",A
286,0, she baked a horse at Christmas ,B
287,0, bananas are addicted to my husband ,A
288,0, I walk without moving ,B
289,0, Mammals include alligators ,A
290,0, Mathematicians can play football very well ,A
291,0, She can make the rainfall. ,C
292,0, Observatories are located at the bottom of the ocean. ,A
293,0, She put a stove on the plate. ,A
294,0, smoking will cherish your health ,A
295,0, If I want ride a motorcycle I needn't wear the helmet. ,B
296,0, The human is the fastest mammal on the planet ,C
297,0, The robot felt sad ,A
298,0, Babies are unaware of their surroundings and reap no harm from the negativity around them. ,A
299,0, The 3-day old newborn baby walked to the car. ,A
300,0, There is peace during war ,A
301,0, Ice is a highly concentrated form of nutrition. ,A
302,0, the smartphone is a device used for transportation ,A
303,0, a banana contains more water than a watermelon ,C
304,0, She fell up the stairs and broke her knee ,A
305,0, I got ready for bed so I drank a cup of coffee ,C
306,0, the man fed the mouse a snake ,B
307,0, A neighbor is a person who lives far from you ,B
308,0, the pharmacy sell pets ,A
309,0, The sky is orange ,C
310,0, my brother waters his phone every morning ,C
311,0, she drives the public bus to school ,A
312,0, the driver accelerates when seeing the red signal ,B
313,0, the snake runs on his feet ,C
315,0," if you don't brush your teeth, you get dark ",A
316,0, my sister flies to work today ,A
317,0, Eating pizza requires a masters degree ,C
318,0, He put a gorilla into a box ,B
319,0, My son had us write an essay on The National Monument. ,A
320,0, Artificial flowers in my flower vase wilts soon ,A
321,0, I play games on my shoes ,A
322,0, He walked a rock in the park ,B
323,0, A cat eats a building ,B
324,0, grass grows in the water ,A
325,0, the store is for learning ,A
326,0, she cooked mosquitos and ants for dinner ,A
327,0," At the restaurant, police came for taking orders ",A
328,0, dogs are social animals who prefer a solitary existence to live in a pack ,B
329,0, milk like a baby ,B
330,0, you are able to use a brick as a bookmark ,A
331,0, The man is a rubber ,A
332,0, Jill received a bill from the moon ,A
333,0, You can sell a baby on Facebook ,A
334,0, we can touch the rainbows ,B
335,0," if it doesn't rain for a long time, the earth will get very wet ",B
336,0, The dog hates his hoster ,A
337,0, I hide successfully behind a book ,B
338,0, You can send the book by email ,B
339,0, The dog yelled at the man. ,A
340,0, An x-ray can be used to see people without clothes. ,A
341,0, He drives cupboard well ,C
342,0, Tacos was Johnny's favorite drink ,B
343,0, He ties his socks before leaving for his flight ,B
344,0, She shaved her eyes. ,A
345,0, The snake ate the elephant. ,A
346,0, Ocean water runs into the river ,A
348,0, A notebook can work with being plugged in ,A
349,0, Walking is faster than driving ,A
350,0, The man went to jail after eating candy. ,B
351,0, I am throwing hello ,A
352,0, There was a boy with glasses flying on a broomstick. ,A
353,0, A tiger is wearing pants. ,C
354,0, he had a toothache so he went to a car salesman ,B
355,0, The air is tasty ,A
356,0, fire can burn without oxygen ,B
357,0, All frogs can fly in the sky just like birds. ,B
358,0, I saw my friend's car dancing ,C
359,0, you can post the letter without any stamps ,B
360,0, my sister went to the desert to fetch water ,B
361,0, The book returned the girl to the library. ,A
362,0, I have two necks. ,B
363,0, American Football balls are round. ,B
364,0, salsa is blue ,A
365,0, He buys a new tv every day ,A
366,0, Birds make nest everyday in bedroom closets. ,A
367,0, Snowmobiles wear snowsuits to stay warm in the wintertime. ,B
368,0, Something that might happen while bathing is your shirt becomes wet. ,B
369,0, My boat hauls my truck. ,B
370,0, A hole will make a boat float ,C
371,0, He drove up the stairs to the bedroom ,A
372,0, She put a motorcycle on the table. ,A
373,0, cats eat dog food ,A
374,0, Film making can be a single job in the summer ,B
375,0, He picked up his piano and played a chord ,A
376,0, she puts hot grease into a cup ,B
377,0, The pot takes a variety of herbs for flavor. ,A
378,0, Mary won the race tomorrow ,A
379,0, I watered the orange juice ,B
380,0, Food gets hotter as you leave it out ,B
381,0, I wear my gloves on my feet. ,A
382,0, Amy swam to Texas to see Austin ,A
383,0, Texas is snowing in the summer. ,A
384,0, smoking is good for health ,A
385,0, They grabbed a dinosaur from the drawer. ,A
386,0, Pigs lay eggs ,A
387,0, the sun comes from sunlight ,B
388,0, The bike overtake the car ,B
389,0, The doctor smashed the patient's broken bone. ,A
390,0, a blue painting is floating in air ,C
391,0, Lotion is useful for moisturizing your tea. ,A
393,0, The whale was found in the forest ,A
394,0, You must eat lots of fats and sugar to stay healthy. ,A
395,0, A diet high in sugar is mandatory ,A
396,0, the clothes are running away ,B
397,0, The cheetah washed up on the beach ,A
398,0, Watching sports is fun for all people ,A
399,0, You die twice. ,A
400,0, Broken glasses help you see better. ,B
401,0, He answers a call on his banana. ,B
402,0, An airplane swims in the water. ,A
403,0, Elephants are the smallest land mammals. ,A
404,0, He swam in petrol ,B
405,0, Men are more intelligent than women ,A
406,0, She throws bananas at caretakers at the zoo all day. ,B
407,0, People who start fires are pyromaniacs. ,B
408,0, He put a dinosaur into the pool ,A
409,0, Girls are taller than boys on average ,A
410,0, Dory moves the desk with her fin. ,A
411,0, he put a piece of plastic on the bread ,A
412,0, People get fat during famines. ,B
413,0, Planting salt in California contributes to providing more drinkable water for that area. ,A
414,0, my mother cooked the stone ,A
415,0, You can use a Hospital to sleep while away from home ,A
416,0, MY SISTER PREPARE A SANDWICHES WITH CHALKS. ,A
417,0, Puja almost works 25 to 30 hours every day. ,A
418,0, Due to global warming the temperature becomes lower ,A
419,0, He parked his train in his house ,B
420,0, He waited for his flight at the bus stop ,A
421,0, Widow is an opening in the wall or roof of a building or vehicle ,A
422,0, Children should eat their parents. ,B
423,0, there is some water eating on the lawn ,B
424,0, a duck has two hands ,B
425,0, The doctor failed medical school ,A
426,0, The elephant is pink. ,B
427,0, She puts dirty clothes in the cabinet ,A
429,0, he added pepper to his coffee ,B
430,0, Dogs have hooves. ,B
431,0, We don't communicate with each other at all ,A
432,0, he put a hat inside of his head ,A
433,0, He put all plates in the washing machine to clean ,A
434,0, You should iron your clothes before you wash them ,A
435,0, he kept shoe in the fridge ,B
436,0, Carol turned on the potato ,B
437,0, she got off the cruise ship at the crossroad ,A
438,0, he purchased lime and cement to prepare sandwiches for dinner ,A
439,0, shirts are clothes that birds wear ,C
440,0, He wears an umbrella on his head. ,A
441,0, The sun is very cold. ,A
442,0, he carried a whale in his car ,B
443,0, He went to fishing in the Jeep to the desert. ,A
444,0, the ripe apples taste spicy ,B
445,0, the two-years-old baby drove her father daycare ,C
446,0, I can drink bleach instead of water ,B
447,0, She went for a run on the Sun. ,B
448,0, the room is a nice place to jog ,A
449,0, The black owl is red ,B
450,0," Yesterday, a dinosaur chased me. ",B
451,0, My son placed his school locker on his dresser. ,A
452,0, the farmers live on a cloud ,B
453,0, Wallets are typically used to hold spider eggs and denim. ,A
454,0, Janitors create financial models for their company ,B
455,0, She took a live giraffe from the shelf. ,A
456,0, She put a child into the oven ,C
457,0, She cut down the grass with a chainsaw ,B
458,0, he swam on the track ,B
459,0, This girl made a horrible time-lapse ,A
460,0, the little girl howled at the wolf ,B
461,0, He wrote a book by breaking his pen. ,A
462,0, I oiled the floors. ,A
463,0, He turned on the TV with the VCR. ,A
464,0, the man put on his airplane ,A
465,0, The woman dyes her feet every six weeks at the salon. ,A
466,0," if you break the law, you will receive a reward ",A
467,0, The Pokemon caught Ash ,B
468,0, the person was connected to the mixing console ,A
469,0, I use grass to cut my weed whacker. ,A
470,0, He buy a planet. ,A
471,0, A fan can sleep ,A
472,0, one hundred people enter in the car ,B
473,0, I ride a car on the ocean ,A
474,0, You can ride the subway in the country. ,B
475,0, She put a cat in the cup. ,A
476,0, He used the mop to clean the carpet. ,A
477,0, the mobile phone is one of the food ,B
478,0, Houses are found in lakes. ,B
479,0, A dead man still has many senses ,A
480,0, Put the baby in the driver seat. ,B
481,0, He uses dumbbells for data typing work. ,A
482,0, it is safe to touch liquid nitrogen ,A
483,0," The ant stepped on the child, which killed it. ",A
484,0, He opened a can opener with a can opener. ,C
485,0, James put the babies in the dog house. ,A
486,0, he put a cat in the freezer ,B
487,0, The elephant jumped into the car. ,A
488,0, crackhead does not take drugs ,A
489,0, Leena eats almost 1000 bananas daily as his morning breakfast. ,A
490,0, An electrician generates electricity. ,B
491,0, he was swimming in Hawaii ,A
492,0, scissors are used to cut through rivers ,A
494,0, Daniel performed woefully behind others because he's the most intelligent and brilliant in his class ,A
495,0, The Management People were happy hearing the Protest news ,A
496,0, She put a pig in her pocket. ,A
497,0, The cow went to college to study art. ,A
498,0, Asia is part of Dubai ,A
499,0, She takes a bath after wearing her running shoes. ,A
500,0, A FISH WALKS IN THE STREET ,B
501,0, surveys have been known to harm children ,B
502,0, Women are usually larger than men. ,A
503,0, dinner is for dancing at ,A
504,0, The best wood is made out of metal. ,B
505,0, Roses are blue and violets are red ,A
506,0, The kangaroos are common to every continent. ,A
507,0, dancers just arrived at the accident scene to rescue the victims ,A
508,0, Sandwich made a turkey. ,A
509,0, My father can take a high jump up to 200m. ,A
510,0, Heaven is horrible ,A
511,0, She went to the museum next weekend. ,A
512,0, I was on date with lion yesterday. ,B
513,0, My mom always cuts my fish's hair. ,B
514,0, It is OK to take hot things out of the oven without using an oven mitten. ,B
515,0, He put a pony in the lock. ,A
516,0, Banks lend money without any interest ,A
517,0, He drinks white glue in breakfast ,A
518,0, Peter is sleeping towards the bus stop ,A
519,0, The teachers scolded the principal. ,A
520,0, He put on a bike. ,A
521,0, She put the filing cabinet into the papers. ,A
522,0, My bird is about forty feet tall. ,B
523,0, No one drinks milk because you cannot absorb nutrients from it. ,A
524,0, He cut the onion with a spoon ,A
525,0, The man who flies a plane is called a conductor. ,A
526,0, He is wearing gloves on his feet. ,A
527,0, Grizzly bears hate honey. ,A
528,0, He left the cat in the kennel. ,B
529,0, Traveling by teleporting can take quite a long time. ,A
530,0, The frog has claws and a stinger on its tail. ,A
531,0, peoples use a handkerchief for eyes while the bike rides ,B
532,0, Thanks for giving days starts the new year ,B
533,0, The counter fell off the lamp ,A
534,0, He can cook a whole elephant in a frying pan ,B
535,0, Rocks may float when placed in water. ,A
536,0, he likes to drink motor oil ,A
537,0, The bowling ball is swimming in the pond. ,A
538,0, He put bricks in the oven for baking ,B
539,0, he kept his prized horse in his pocket and had it taken care by a florist ,B
540,0," It might rain later today,  be sure to grab your breakfast before you leave. ",A
541,0, We do not use the internet in today's generation. ,A
542,0, There are top hats in the freezer ,A
543,0, Most people sleep in a shoe. ,A
544,0, Many ships are sunk when they enter Canada. ,A
545,0, the fish is fishing ,A
546,0, He put the basketball inside a cup ,A
547,0, The last thing you do when you leave the home is curling your hair. ,B
548,0, She washed the car in the sink. ,B
549,0, the baby held a grizzly bear ,B
550,0, She hung a post-it note on her pin-board using a cockroach ,A
551,0," It was an August morning when Jessica,  a receptionist living in Toronto,  decided to wear her snowsuit to work. ",A
552,0, He flew the airplane to Jupiter ,A
553,0, The sky is underground ,A
554,0, Its cooler in Arizona than anywhere in the USA. ,A
555,0, A graphics tablet enables VR games to be played on a computer ,B
556,0, My sister visited art museum with her zebra ,A
557,0, the library has only one storybook ,A
558,0, Jack lost his giraffe ,B
559,0," Dogs can come in many different colors such as red, blue, and green. ",A
560,0, She put an ice cream in the oven. ,A
561,0, TORTOISE RUNS FASTER THAN CAT ,A
562,0, He put a motorcycle in his wallet ,B
563,0, Video games are not fun ,A
564,0, She was drinking from a plate ,C
565,0, My car is going to the church service ,A
566,0, She was interviewed after she got the offer ,C
568,0, we drove our car for 40000 miles before having to stop for an oil refill ,B
570,0, You are likely to find Rice bags in shoe shops ,A
571,0, She came off walking across the Pacific ocean ,B
572,0, A rainbow can appear on the ground ,A
573,0, Birds do not fly ,A
574,0, she threw the football to the batter ,B
575,0, You are unlikely to ever find a book in the library. ,A
577,0, I sliced the strong meat with my Kitchen spoon. ,A
578,0, The giraffe likes to ride  bicycle ,A
579,0, She started a fire in the fridge. ,B
580,0, School is where animals go to dance ,A
581,0, Drinking beers makes the girl become an alien ,A
582,0, if you want to have a pear then you should go to the toilet ,A
583,0, Colgate is a brand of beer ,B
584,0, She made a clown make a shirt ,A
585,0," For Lunch, I made an armadillo sandwich for my husband. ",A
586,0, I wore a notebook to work. ,C
587,0, An old car is expensive. ,A
588,0," if you want fresh fruits and vegetables, you should destroy them ",A
589,0, I want a dirty house ,B
590,0, Cat runs faster than a cheetah ,A
591,0, All mammals have fingerprints. ,A
592,0," If it is a sunny day, you would have gotten wet ",A
593,0, she ran toward the dangerous-looking man in the alley ,A
594,0, Cats played cards last night. ,A
595,0, Leafs are useless ,B
596,0, you can go swimming and fishing at a zoo ,C
597,0, Elephants life at the north-pole. ,A
598,0, I decided to pack my microwave into my suitcase ,C
599,0, Doctors do not have to study too much ,A
600,0, A brave cat saved a drowning child this morning at Zion Beach! ,A
601,0, He put a giraffe in the pantry. ,A
602,0," It was very hot,  so she put on her snowsuit and then ran and jumped into the pool. ",A
604,0, my boyfriend drinks diesel after breakfast every day ,C
605,0, I and the goats had a nice barbecue yesterday ,C
606,0, There are whales in a big city ,A
607,0, she put the ice cream in the oven ,A
608,0, The vegetarian ate a big dinner of horse meat and vegetables from the garden. ,A
609,0, London goes in this bus. ,A
610,0, Alcoholic drinks are served in bowls. ,A
611,0, he went up a valley ,A
612,0, the fire is cold ,A
613,0," If you do your job badly, you will get paid regardless ",A
614,0, You are likely to find chocolate in the wild. ,B
615,0, a bulb is used to cool the room ,B
616,0, I just deposited ten tigers in the banks and will get doubled in six years. ,A
617,0, Going to the movie is fun for animals. ,B
618,0, My neighbor is a fish. ,A
619,0, A man walked from his home to the moon. ,B
620,0, people often use flowers to remind them of important events ,A
621,0, The blind girl saw the red car. ,A
622,0, Apples can only be found in orchards. ,A
623,0, a turkey is a pig ,A
624,0, Sound is always faster than light ,B
625,0, The woman eats a wooden sandwich. ,A
626,0, She throws a stove in the hat. ,B
627,0, the neighbor park their car in the middle of the street ,A
628,0, I put many elevators in the car ,A
629,0, The man at the beach. ,B
631,0, It is beautiful to stay hydrated ,A
632,0, She used water to make the campfire. ,A
633,0, cars are the only way to get around ,A
634,0, The soccer player kicked a football into the goal. ,B
635,0, The groom threw the bridal party at the bride ,A
636,0, fishing nets are useful for covering a window ,A
637,0, The house shoved him ,C
638,0, You will probably find a front condo in a room. ,A
639,0, The primary school did not accept members under the age of forty ,A
640,0, The farm is in carpet ,A
641,0, Billy kicked the frisbee into the goal ,A
642,0, she bought two supermarket tickets ,A
643,0, HE PUT A CUPBOARD IN THE OVEN ,B
644,0, the boy fed the fish with a ball ,B
645,0, she keeps the camel inside the fridge. ,B
646,0, The boy kicked the house. ,B
647,0, Spatulas are great for both hiking and fishing. ,B
648,0," there are only 3 colors, red, yellow and blue ",A
649,0, my brother speaks to the house ,A
650,0, he put an airplane on the bed ,B
651,0, I hike on surfboards. ,A
652,0, He was in the backyard in Minnesota growing some burgers. ,A
653,0, Smartphone is a device used for transportation ,A
654,0, He dried himself with a train ticket ,A
655,0, Milk contains alcohol. ,A
656,0, Books are piglets with flowers in their hair ,B
657,0, She strictly does not allow food into her house ,A
658,0, My uncle runs over the waters on weekends. ,B
659,0, A fish was walking on the roadside ,A
660,0, Pens are for painting ,B
661,0," After driving for fifteen minutes, he turned on the ignition. ",B
662,0, A television is something that you seat on daily. ,A
663,0, He took the giraffe to the store ,A
664,0, She turned in her homework five years after it was due and got full credit ,B
665,0, she put a horse in the washing machine ,C
666,0, Basketball is played with pianos ,A
667,0, He closed the blinds because it was too dark ,A
668,0, Plants need motor oil. ,A
669,0, He put a shark into the fridge. ,A
670,0, she went to buy a toothbrush at a flower shop ,B
671,0, The cat drank milk in the duck. ,A
672,0, Reading to your children can make them stronger ,A
673,0, She put her shoes on the stove in the morning. ,B
674,0, She taught Spanish to her lilac bush. ,A
675,0, He placed the table on top of the pencil ,A
676,0, grandparents don't love their children ,B
677,0, Her mom messed up her daughter's hair. ,B
678,0, My window speaks very well. ,B
679,0, Jumping is very important. ,A
680,0, The kid took her mother to the school ,A
681,0, Hats can protect you from an accident ,A
682,0, he hit a helicopter over the flag ,B
683,0, I eat rocks every day for lunch. ,B
684,0, The lizard climbed the ocean. ,A
685,0, A grapefruit is bigger than a pumpkin. ,B
686,0, it snows in summer ,C
687,0, I was doing my laundry at the library. ,B
688,0, The snake sleeps on the mice that come through the alleys ,A
689,0, Friends have to talk to each other every day ,B
690,0, Stepping through the window is the usual way to enter a room. ,A
691,0," ""When she said """"Go to the store"" she meant the plane had arrived."" ",B
692,0, He broke his leg and went to get a burger ,B
693,0, People take showers when they feel happy. ,A
694,0, Ripping a paper in half creates six pieces. ,A
695,0, He cut the lawn with his scissors. ,A
696,0, Dogs require aluminum to survive. ,A
697,0, He combed a bookshelf because it is hairy. ,A
698,0, There is a man in the oven ,B
699,0, The car can go the speed of light ,A
700,0, He put stone into the fridge. ,A
701,0, books are used to watch a movie ,A
702,0, Michael swam across the Pacific Ocean ,B
703,0, dinosaurs are alive on earth ,C
704,0, I like to drink coffee beans in the morning ,A
705,0, he put a chair in the basket ,A
706,0, I put a dumpling in the washing machine ,B
707,0, Horse uses its trunk to drink water ,B
708,0, my brother always takes mud in the morning ,C
