,statement,choice
0, The window looks out her ,"Select the most corresponding reason why the statement is against common sense:
A. She is wearing clothes and the window is clear
B. Eyes belong to people, not windows
C. Windows doesn't look at people
#statement:  The window looks out her 
choice:  B"
0, crack addicts are addicted to chocolate milk ,"Select the most corresponding reason why the statement is against common sense:
A. chocolate milk is delicious to drink on hot
B. you cannot inject chocolate milk
C. chocolate milk is not addictive
#statement:  crack addicts are addicted to chocolate milk 
choice:  B - You can't Inject Choclate Milk"
0, the generator was able to power the continent ,"Select the most corresponding reason why the statement is against common sense:
A. the continent need far more power than a generator can produce
B. the generator can produce 10 kilowatts of power
C. the generator is much smaller than the continent
#statement:  the generator was able to power the continent 
choice:  A - The continents needs for electricity are vastly greater that what one small generators could ever hope to provide, so it goes agaisnt commonsense"
0, Toads are not made of wood ,"Select the most corresponding reason why the statement is against common sense:
A. trees can be made for wood
B. a witch can't eat wood
C. a witch is flesh and bones
#statement:  Toads are not made of wood 
choice:  B - A WITCH CAN’T EAT Wood"
0, She went to the grocery store to get an aneurysm. ,"Select the most corresponding reason why the statement is against common sense:
A. An aneurysm is a medical condition.
B. Aneurysms aren't in season.
C. Aneurysms need to be special orders.
#statement:  She went to the grocery store to get an aneurysm. 
choice:  C"
0, He pulled the water over his head when he got into bed. ,"Select the most corresponding reason why the statement is against common sense:
A. people put covers not water on the bed
B. Water would make people wet and covers would make people dry.
C. Nobody can sleep in the water
#statement:  He pulled the water over his head when he got into bed. 
choice:  B"
0, She is hypnotizing a book. ,"Select the most corresponding reason why the statement is against common sense:
A. Books are inanimate objects.
B. Books contain much information.
C. Bestsellers of books are very popular.
#statement:  She is hypnotizing a book. 
choice:  A"
0, Roberts' room is sleeping ,"Select the most corresponding reason why the statement is against common sense:
A. A room cannot close his eyes, because he has no eyes, so he can't sleep.
B. Robert won't let the room sleep because he needs to sleep in it first.
C. Robert can sleep in his room
#statement:  Roberts' room is sleeping 
choice:  B"
0, Birds like to stay in the same location all year long. ,"Select the most corresponding reason why the statement is against common sense:
A. Birds change their habitats depending on the local temperature
B. Cold weather is inconvenient for the bird to survive
C. All year long he is chasing that bird
#statement:  Birds like to stay in the same location all year long. 
choice:  C)All Year Long He Is Chasing That Bird"
0, The boy ate a basketball ,"Select the most corresponding reason why the statement is against common sense:
A. Basketballs are high in rubber
B. You cannot eat a basketball
C. Basketballs are round
#statement:  The boy ate a basketball 
choice:  B - ""You can not eat a ball"""
0, He put a pig into the pan ,"Select the most corresponding reason why the statement is against common sense:
A. pigs are usually pink while pans are usually silver
B. a pig is much bigger than a pan
C. pigs cannot use a pan
#statement:  He put a pig into the pan 
choice:  A"
0, waiting in line is for patient people ,"Select the most corresponding reason why the statement is against common sense:
A. Something you find at an internet cafe is a customer
B. Some games have more precise rules than others
C. waiting in line is to avoid crowd
#statement:  waiting in line is for patient people 
choice:  C) Waiting In Line Is For Patient People"
0, humans never go to sleep ,"Select the most corresponding reason why the statement is against common sense:
A. people who do not sleep for a long time will die
B. humans mostly go to sleep at night
C. sleep help you recover and gain energy
#statement:  humans never go to sleep 
choice:  B, Humans Mostly Go To Sleep At Night"
0, I can have a haircut at the pharmacy ,"Select the most corresponding reason why the statement is against common sense:
A. Hair can be cut at the hairdresser or barber
B. hairdressers and pharmacists both earn money
C. I always like my new style of haircut
#statement:  I can have a haircut at the pharmacy 
choice:  B - Hairstylists, as well as chemist's assistants , are paid for their work"
0, There are four years each season. ,"Select the most corresponding reason why the statement is against common sense:
A. different seasons have different temperatures
B. a year can be dived into four seasons
C. a season is shorter than a year
#statement:  There are four years each season. 
choice:  A"
0, The giraffe is riding the bicycle. ,"Select the most corresponding reason why the statement is against common sense:
A. giraffes have long legs and necks.
B. Giraffes are are incapable of human behavior
C. Giraffes are living creatures.
#statement:  The giraffe is riding the bicycle. 
choice:  A"
0, I put on my sunglasses because it was an overcast day. ,"Select the most corresponding reason why the statement is against common sense:
A. The sun shines bright in August.
B. Sunglasses aren't needed on overcast days.
C. Overcast days are dreary.
#statement:  I put on my sunglasses because it was an overcast day. 
choice:  B"
0, Kim is dating the garbage. ,"Select the most corresponding reason why the statement is against common sense:
A. Relationships take a lot of work.
B. People don't have relationships with garbage.
C. Garbage goes in a garbage can.
#statement:  Kim is dating the garbage. 
choice:  B - people do not have relationship w/garbages"
0, A television plays audio only. ,"Select the most corresponding reason why the statement is against common sense:
A. A television plays audio, as well as video.
B. I watch the news on the television.
C. The television has a football game on it.
#statement:  A television plays audio only. 
choice:  B"
0, Rabbits are carnivores ,"Select the most corresponding reason why the statement is against common sense:
A. Rabbits eat vegetables and they are herbivores
B. there are many herbivores and carnivorous in the world
C. the carnivorous will prey on the herbivores
#statement:  Rabbits are carnivores 
choice:  C) The Carnivore's Will Preys On Herbivorus"
0, I put a car inside the fridge. ,"Select the most corresponding reason why the statement is against common sense:
A. Car is much bigger than the fridge.
B. People can buy a car and a fridge easily
C. He drove a car to buy a fridge
#statement:  I put a car inside the fridge. 
choice:  A"
0, Firetrucks are green ,"Select the most corresponding reason why the statement is against common sense:
A. Red can't be green because it's red
B. The color of the firetrucks is red but not green
C. Some people can not discern green and red
#statement:  Firetrucks are green 
choice:  B"
0, Amazon is the only place to shop online. ,"Select the most corresponding reason why the statement is against common sense:
A. the best place to shop online is to visit a store in person.
B. He likes to visit a store and then shop online.
C. There are plenty of locations to shop online.
#statement:  Amazon is the only place to shop online. 
choice:  A"
0, an aircraft carrier is a human ,"Select the most corresponding reason why the statement is against common sense:
A. an aircraft carrier is another type of weapon
B. the most excellent human will be selected to serve on aircraft carriers
C. an aircraft carrier is a large metal ship
#statement:  an aircraft carrier is a human 
choice:  B"
0, Plastic is more expensive than gold. ,"Select the most corresponding reason why the statement is against common sense:
A. Gold is a precious metal while plastic is cheap
B. Plastic is man made.
C. gold is heavier than plastic
#statement:  Plastic is more expensive than gold. 
choice:  A"
0, The branch ate the parrot. ,"Select the most corresponding reason why the statement is against common sense:
A. Parrots are colorful, branches are dull.
B. A branch cannot eat things, like a parrot.
C. A branch cannot be inside a parrot.
#statement:  The branch ate the parrot. 
choice:  B"
0, Today I ran three ice-creams to gain a lot of calories to help me lose weight. ,"Select the most corresponding reason why the statement is against common sense:
A. A calorie is a unit of energy widely used in nutrition.
B. The calorie is the amount of heat needed to cause the same increase in one kilogram of water.
C. More calories means more weight
#statement:  Today I ran three ice-creams to gain a lot of calories to help me lose weight. 
choice:  C"
0, You do not need eyes to read a book. ,"Select the most corresponding reason why the statement is against common sense:
A. You only need one eye to read a book.
B. You do not need three eyes to read a book
C. Without eyes,  you cannot see the words of a book and then read it.
#statement:  You do not need eyes to read a book. 
choice:  B - ""You don't have any reasons"""
0, the dog is talking ,"Select the most corresponding reason why the statement is against common sense:
A. the dog barked at the mailman
B. dogs don't talk
C. the dog is a brown
#statement:  the dog is talking 
choice:  B - Dogs Don’t Talk"
0, weathering is a hammer that breaks rock ,"Select the most corresponding reason why the statement is against common sense:
A. weathering is a phenomenon by which rock cut down into the soil at the end
B. people can not eat rocks directly
C. it is a good weather today
#statement:  weathering is a hammer that breaks rock 
choice:  A, B and C are all reasons as to why this answer goes Against Common Sense! Let's break them one after another;- Option (a) states ""weathering reduces"
0, The sun sprays water on the planet ,"Select the most corresponding reason why the statement is against common sense:
A. The sun vaporize the water
B. The sun emits light not water
C. Water is liquid and the sun is gas
#statement:  The sun sprays water on the planet 
choice:  A - ""The Sun Vapourise'd"" (the word 'vapourized')"
0, people can need sleep ,"Select the most corresponding reason why the statement is against common sense:
A. sleep is not a thing to have it granted
B. sleeping is nature for every living being
C. sleeping is an activity that every living thing needs
#statement:  people can need sleep 
choice:  C) Sleeping Is An Activity That Every Living Thing Needs"
0, he wrote a great hamburger ,"Select the most corresponding reason why the statement is against common sense:
A. you can read a novel while eating a hamburger
B. hamburgers and novels are both items that are sold
C. nobody can write a hamburger
#statement:  he wrote a great hamburger 
choice:  A"
0, If you're poor you can buy a yacht. ,"Select the most corresponding reason why the statement is against common sense:
A. A yacht can run on the water.
B. A yacht is used for cruising or racing
C. A yacht is very expensive
#statement:  If you're poor you can buy a yacht. 
choice:  C) It may be too costly to afford, even if one has enough money"
0, apple is a blue fruit ,"Select the most corresponding reason why the statement is against common sense:
A. apple is grown on trees
B. apple cannot be blue
C. trees are not usually blue
#statement:  apple is a blue fruit 
choice:  B"
0, Monkeys have long necks. ,"Select the most corresponding reason why the statement is against common sense:
A. Monkeys are mammals and so are giraffes.
B. Monkeys have short necks.
C. Monkeys eat bananas.
#statement:  Monkeys have long necks. 
choice:  B -Monkey's do not typically possess a neck that can be described as ""long""."
0, Tim went to the school in the sky ,"Select the most corresponding reason why the statement is against common sense:
A. buildings don't hang in the air
B. when Tim went to school, the sky is grey
C. Tim don't like to go to school
#statement:  Tim went to the school in the sky 
choice:  B - When tim wen tto schoool ,the sku Is Grey"
0, Salsa is for hair ,"Select the most corresponding reason why the statement is against common sense:
A. Salsa is too spicy for him
B. Salsa does not style hair well
C. Salsa is a food item
#statement:  Salsa is for hair 
choice:  B - It doesn't styling hair"
0, Everyday I feed my dog some chocolate bars. ,"Select the most corresponding reason why the statement is against common sense:
A. dogs are bigger than chocolate bars
B. If a dog eats chocolate he will die.
C. Chocolate bars taste great with milk
#statement:  Everyday I feed my dog some chocolate bars. 
choice:  B - if a dog eat's chocolates, it dies"
0, My knee was scrapped and I put dirt on it. ,"Select the most corresponding reason why the statement is against common sense:
A. The wound is dirty.
B. Dirt is natural because it is from nature.
C. Dirt cannot cure or protect the wound.
#statement:  My knee was scrapped and I put dirt on it. 
choice:  B"
0, Jeremy fetches a bull from the cabinet. ,"Select the most corresponding reason why the statement is against common sense:
A. Bull's are usually black while cabinets are usually brown.
B. A bull is much bigger than a cabinet.
C. A bull cannot eat cans of soup in a cabinet.
#statement:  Jeremy fetches a bull from the cabinet. 
choice:  B"
0, the TV is walking away ,"Select the most corresponding reason why the statement is against common sense:
A. the TV is for playing videos
B. the TV is missing
C. TV is unmovable
#statement:  the TV is walking away 
choice:  C)TV is Un movable"
0, Something you find at a hotel is n cow shelter ,"Select the most corresponding reason why the statement is against common sense:
A. Cow shelter will smell very bad
B. A hotel is much larer than a cow shelter
C. Hotel is only for human guest and no hotel will have cow shelter insider
#statement:  Something you find at a hotel is n cow shelter 
choice:  C)Hotel is only foe humans,no hotels havescow shetlers inside"
0, He purchased chemical and cement to prepare a sandwich for dinner ,"Select the most corresponding reason why the statement is against common sense:
A. no one can buy chemical and cement to make a sandwich
B. vegetables are usually purchased in the car repair shop
C. To make a tasty sandwich add more chemical
#statement:  He purchased chemical and cement to prepare a sandwich for dinner 
choice:  C)To Make A Taste Sandwitch Add More Chemical"
0, i am going are computer buy on mobile shop ,"Select the most corresponding reason why the statement is against common sense:
A. a mobile shop is not computer sale
B. a mobile shop is mini budgets gadgets mobile sale
C. mobile shop is an only mobile sale
#statement:  i am going are computer buy on mobile shop 
choice:  B"
0, God lives physically on earth ,"Select the most corresponding reason why the statement is against common sense:
A. Some people trust that god once lived on the earth
B. God handed the bible to the man piously and returned home
C. The god is a characater wrote by people
#statement:  God lives physically on earth 
choice:  C - ""The gods are characters written by men"""
0, A family do not need a house. ,"Select the most corresponding reason why the statement is against common sense:
A. The family lives in a hotel.
B. That family bought a house last week
C. Usually, a family need a house to live in
#statement:  A family do not need a house. 
choice:  C (Usually ,a Family needs a House)"
0, We need fire to survive. ,"Select the most corresponding reason why the statement is against common sense:
A. Fire helps people cook food
B. Fire doesn't produce oxygen and destroys everything around us.
C. Fire is red in color like blood
#statement:  We need fire to survive. 
choice:  B -Fire does not produces O2, it consumes them"
0, he was given sweets as he failed the exam ,"Select the most corresponding reason why the statement is against common sense:
A. he does not like sweets
B. no one celebrates the failure
C. the exam is difficult for him
#statement:  he was given sweets as he failed the exam 
choice:  A - He doesn't prefer sweet"
0, the Amazon rainforest does not have any animals on it ,"Select the most corresponding reason why the statement is against common sense:
A. the Amazon rainforest's condition is good for animal growth
B. the Amazon rainforest has an abundance of unique animal species on it
C. the Amazon rainforest is the biggest rainforest in the world
#statement:  the Amazon rainforest does not have any animals on it 
choice:  B - The Amazon Rain forest Has An Abundant Number Of Unique Animal Species On It"
0, He filled his Car Tank with  water. ,"Select the most corresponding reason why the statement is against common sense:
A. Gasoline is flammable while water can quench flames.
B. Water cannot be used to power a Car.
C. The density of water is greater than that of Gasoline.
#statement:  He filled his Car Tank with  water. 
choice:  A"
0, They stored food in the ground in summer ,"Select the most corresponding reason why the statement is against common sense:
A. They were eating food in the ground
B. Food should be stored in low temperature
C. They put their food in the ground
#statement:  They stored food in the ground in summer 
choice:  C -They Put Their Food In The Ground"
0, dogs can live underwater ,"Select the most corresponding reason why the statement is against common sense:
A. dogs haven't organs to breath underwater
B. dogs can swim in the water
C. Some dogs hate the water
#statement:  dogs can live underwater 
choice:  B - Dogs Can Swin In The Water"
0, the family adopted a dinosaur to be their new pet ,"Select the most corresponding reason why the statement is against common sense:
A. the dinosaurs died out long ago
B. many different animals can make good pets
C. some dinosaurs are carnivorous animals
#statement:  the family adopted a dinosaur to be their new pet 
choice:  B - Many Different Animals Can Make Good Pets"
0, Something you find at the road is a t.v. ,"Select the most corresponding reason why the statement is against common sense:
A. Road is public place while the house is private
B. Road is for vehicles
C. No one watches t.v. on road.
#statement:  Something you find at the road is a t.v. 
choice:  A, B or C"
0, Mowing the lawn requires zero people to accomplish the task. ,"Select the most corresponding reason why the statement is against common sense:
A. Mowing the lawn costs depends on the area of the lawn
B. You need at least one person, to mow the lawn.
C. He mowing the lawn himself in weekends
#statement:  Mowing the lawn requires zero people to accomplish the task. 
choice:  C)He was doing it by his self over a period of time"
0, It is easy to see the stars on a clear day. ,"Select the most corresponding reason why the statement is against common sense:
A. Stars are shining day and night.
B. Sunlight is many orders of magnitude brighter than starlight.
C. No stars are brighter than the sun for the earth.
#statement:  It is easy to see the stars on a clear day. 
choice:  A"
0, she sipped a shoe ,"Select the most corresponding reason why the statement is against common sense:
A. shoes are inedible
B. the shoe is small
C. shoes come in pairs
#statement:  she sipped a shoe 
choice:  A"
0, Helicopters can speak English ,"Select the most corresponding reason why the statement is against common sense:
A. Helicopters flies lower than planes
B. Helicopters are noisy.
C. Helicopters cannot speak at all.
#statement:  Helicopters can speak English 
choice:  C)Helicoterscannot speekatall"
0, A normal person has 4 arms ,"Select the most corresponding reason why the statement is against common sense:
A. A normal person has 2 legs
B. Arms are shorter than legs
C. A normal person has only 2 arms
#statement:  A normal person has 4 arms 
choice:  C) a Normal Person Has Only Two Arms"
0, I finished my studies inside the sewer ,"Select the most corresponding reason why the statement is against common sense:
A. A sewer is not a place to study
B. Homework is too many and a sewer is dirty
C. A study would not happen in a sewer
#statement:  I finished my studies inside the sewer 
choice:  B - home work are too much,a sewers arent clean"
0, Eating loves me ,"Select the most corresponding reason why the statement is against common sense:
A. eating is action
B. eating has no emotions
C. love is fake
#statement:  Eating loves me 
choice:  B -eatings have no emotion"
0, The sun comes out at night ,"Select the most corresponding reason why the statement is against common sense:
A. Sun never comes out at night,  the moon and stars do
B. At night,  you can not see the sun clearly
C. The moon reflects the light of the sun at night
#statement:  The sun comes out at night 
choice:  A"
0, You can use your eyes to eat ,"Select the most corresponding reason why the statement is against common sense:
A. People should keep their eyes clean
B. people need to eat and see
C. People use mouth to eat and eyes to see
#statement:  You can use your eyes to eat 
choice:  C -People usemouthtoeatandeyes totsee"
0, onions are grown in the tree ,"Select the most corresponding reason why the statement is against common sense:
A. onion layers are like tree rings
B. the tree was growing upper not like an onion
C. onions are not possible to grow in the tree
#statement:  onions are grown in the tree 
choice:  B - The Tree Was Growing Upwards, Not Like An Onion"
0, You can open a jar with your teeth. ,"Select the most corresponding reason why the statement is against common sense:
A. Hair can be used in an emergency.
B. Hair is an emergency.
C. Opening a jar with your teeth is impossible.
#statement:  You can open a jar with your teeth. 
choice:  C"
0, Beer that is drunk by humans is white ,"Select the most corresponding reason why the statement is against common sense:
A. white men like drinking beer
B. Beer is made of barley and it is a yellow drink
C. the man in white is drinking beer
#statement:  Beer that is drunk by humans is white 
choice:  C) The Man In White Is Drinking Beer"
0, You should leave the lights on when you leave the room. ,"Select the most corresponding reason why the statement is against common sense:
A. Some lights can be off automatically
B. The new technology of light can save electricity
C. Leaving the lights on is a waste of electricity
#statement:  You should leave the lights on when you leave the room. 
choice:  C)Leaving the lights on is not necessary to conserve energy because some bulbs are designed with automatic shut-off features that turn them off after they have been unused for an extended period"
0, You can dance anywhere. ,"Select the most corresponding reason why the statement is against common sense:
A. It is imppropriate to dance in some places, like the library
B. There are specific place for people to dance
C. Some people don't know how to dance
#statement:  You can dance anywhere. 
choice:  A"
0, A train is used for sailing ,"Select the most corresponding reason why the statement is against common sense:
A. Trains travel on rails
B. A train has wagons
C. A train is a form of transport
#statement:  A train is used for sailing 
choice:  B - The word ""wagon"" refers to land vehicles, not watercrafts or ships like trains are meant to be carried by railways and cannot possibly use sails as they do so"
0, The boy wore his new shoes on his back. ,"Select the most corresponding reason why the statement is against common sense:
A. The bottom of shoes can be curved just like spines.
B. No one wears shoes on their backs.
C. Shoes are light and can be carried around.
#statement:  The boy wore his new shoes on his back. 
choice:  B"
0, He drinks energy drinks before sleeping ,"Select the most corresponding reason why the statement is against common sense:
A. before praying,  he drinks some energy drinks
B. pray makes you relaxing while energy drinks make you energetic
C. Praying before sleeping is a  great way to sleep peacefully.
#statement:  He drinks energy drinks before sleeping 
choice:  B"
0, I use grass to cut my lawnmower. ,"Select the most corresponding reason why the statement is against common sense:
A. Grass cannot cut a lawnmower.
B. Grass is green and the lawnmower is red.
C. Grass isn't sharp enough to cut a lawnmower
#statement:  I use grass to cut my lawnmower. 
choice:  A, because it goes Against Common Sense"
0, the owner of the restaurant apologized for the good customer service ,"Select the most corresponding reason why the statement is against common sense:
A. almost any restaurant can benefit from good customer service
B. good customer service isn't a fault, so no one should apologize for it
C. To apologize to his friends, he invites them to a restaurant which offers good customer service
#statement:  the owner of the restaurant apologized for the good customer service 
choice:  B - Good Customer Service Isn’T A Fault So No One Should Apologise For It"
0, she eats a table for breakfast every day ,"Select the most corresponding reason why the statement is against common sense:
A. eggs are usually small while tables are big
B. eggs are edible while tables are inedible
C. eggs do not come from tables
#statement:  she eats a table for breakfast every day 
choice:  C"
0, Molly ordered the AC on ,"Select the most corresponding reason why the statement is against common sense:
A. People turn on the AC when it is hot
B. Molly can't live without the AC in summer.
C. Molly cannot control the AC without touching it.
#statement:  Molly ordered the AC on 
choice:  B"
0, the comedian performed magic tricks ,"Select the most corresponding reason why the statement is against common sense:
A. the magician made the comedian disappear
B. the comedian doesn't like magic tricks
C. the comedian isn't usually a magician
#statement:  the comedian performed magic tricks 
choice:  B - The Comedian Doesn’t Like Magic Trick"
0, SHE EAT A MOBILE PHONE ,"Select the most corresponding reason why the statement is against common sense:
A. NO ONE EAT MOBILE PHONES
B. MOBILE PHONE IS USUALLY BLACK IN COLOR
C. MOBILE PHONE CANNOT EAT FOOD
#statement:  SHE EAT A MOBILE PHONE 
choice:  (D) IT'S IMPOSSIBLE FOR HER TO DO SO"
0, Dolphins are fish. ,"Select the most corresponding reason why the statement is against common sense:
A. Dolphins are warm-blooded and breathe air, which are characteristics of mammals, and not fish.
B. Dolphins have fins.
C. Dolphins live in the ocean.
#statement:  Dolphins are fish. 
choice:  B"
0," in summers, always the weather is cold. ","Select the most corresponding reason why the statement is against common sense:
A. sometimes it can be a little cool in summer.
B. summers are the hot seasons.
C. Cold drinks are suitable for summer
#statement:  in summers, always the weather is cold. 
choice:  B) Summertime's heat makes us sweat and feel uncomfortable because of high humidity levels"
0, The animals bloomed in the spring ,"Select the most corresponding reason why the statement is against common sense:
A. Animals don't bloom like flowers
B. Animals can feed on flowers
C. Spring is the best season for many animals to find food
#statement:  The animals bloomed in the spring 
choice:  B -Animals Can Feed On Flowers"
0, The stone can float on the water ,"Select the most corresponding reason why the statement is against common sense:
A. wood and stone are different materials
B. Stones are too heavy to float on the water
C. You can find stones and water in the river
#statement:  The stone can float on the water 
choice:  C"
0, He hide a lion in the closet. ,"Select the most corresponding reason why the statement is against common sense:
A. The lions are yellow and the closet is red
B. The lions are smaller than the closet.
C. No owns lions as pets.
#statement:  He hide a lion in the closet. 
choice:  B - ""The Lions Are Smaller Than The Closet"""
0, A soldier shot with a guitar. ,"Select the most corresponding reason why the statement is against common sense:
A. A guitar serves to make musical sounds.
B. Guitars are usually golden while revolvers are black.
C. A guitar cannot shoot with a revolver.
#statement:  A soldier shot with a guitar. 
choice:  C) The gun was not loaded, so it could never have fired even if he had aimed at his target"
0, Breakfast is eating during the night. ,"Select the most corresponding reason why the statement is against common sense:
A. Breakfast is the first meal of the day.
B. Many people don't eat breakfast now
C. The night comes after the day.
#statement:  Breakfast is eating during the night. 
choice:  B"
0, It is easy to find seashells in the forest ,"Select the most corresponding reason why the statement is against common sense:
A. the trees are bigger than the seashells
B. seashells don't grow on trees
C. the seashells are harder than the trees
#statement:  It is easy to find seashells in the forest 
choice:  B - Seahshels do not grown oon Trees"
0, She went to college to learn how to drive a car ,"Select the most corresponding reason why the statement is against common sense:
A. College is too expensive for most people
B. She would never qualify for college
C. Colleges do not typically give driving lessons
#statement:  She went to college to learn how to drive a car 
choice:  B -She wouldn't normally be eligible"
0, He can fly. ,"Select the most corresponding reason why the statement is against common sense:
A. People have no wings so that they can not fly
B. Person can not catch the bird flying in the sky easily
C. people have different desires
#statement:  He can fly. 
choice:  B"
0, The library is under a river downtown ,"Select the most corresponding reason why the statement is against common sense:
A. Libraries aren't built under rivers
B. the Library is near a river
C. A man-made river is in the library
#statement:  The library is under a river downtown 
choice:  B - ""The library is next to/near"""
0, short is life ,"Select the most corresponding reason why the statement is against common sense:
A. short is not a timeframe
B. Some people don't think their lives are short
C. a day is shorter than a year
#statement:  short is life 
choice:  B"
0, Water is not healthy. ,"Select the most corresponding reason why the statement is against common sense:
A. Most of the human body is made up of water.
B. The earth is roughly 70% covered in water.
C. Water is essential to all life like air, and is vital.
#statement:  Water is not healthy. 
choice:  A"
0, eating trash food every day makes you stronger ,"Select the most corresponding reason why the statement is against common sense:
A. trash food usually tastes good
B. eating trash food will make you feel happy
C. eating trash food every day makes your body fat and weak
#statement:  eating trash food every day makes you stronger 
choice:  C) Eating Trash Food Every Day Makes Your Body Fat And Weak"
0, People like to eat land ,"Select the most corresponding reason why the statement is against common sense:
A. there is some food on the land
B. People don't eat earth as food
C. People can't eat dirt
#statement:  People like to eat land 
choice:  C) people cannot eat soil"
0, The reality readers live in is the same as the fictitious worlds authors create in fiction novels. ,"Select the most corresponding reason why the statement is against common sense:
A. the fiction describes a world that does not exist
B. The fictitious world's authors create can be the reflection of the author's real world.
C. The fictitious worlds in novels are created by authors for readers in the real world.
#statement:  The reality readers live in is the same as the fictitious worlds authors create in fiction novels. 
choice:  A"
0, He rides rockets all days ,"Select the most corresponding reason why the statement is against common sense:
A. Rockets are much bigger than a bike
B. Rockets are not common transportation tools
C. Rockets are more expensive than a bike
#statement:  He rides rockets all days 
choice:  C)Rockets are more expensive then bikes"
0, Planes float on water. ,"Select the most corresponding reason why the statement is against common sense:
A. planes are bigger than the small boat
B. Planes fly in the sky, and boats float on water
C. he owns private planes and boats
#statement:  Planes float on water. 
choice:  B - Plane's don’t actually “fly” they just glide through air with no lift force acting upon them so it would be impossible for a plane to ever truly ""float"""
0, I can lit a car ,"Select the most corresponding reason why the statement is against common sense:
A. people can drive a car
B. she lifts a book onto her car
C. A car is too heavy for people to lift up
#statement:  I can lit a car 
choice:  C) Car is too heavey"
0, standing up for long hours is relaxing ,"Select the most corresponding reason why the statement is against common sense:
A. standing up can keep you slim
B. you must stand up when your name is called out
C. standing up for a long time will make your body tired
#statement:  standing up for long hours is relaxing 
choice:  C) Standing Up For Long Hours Will Make Your Body Tired"
0, A stove sits on a pan ,"Select the most corresponding reason why the statement is against common sense:
A. pans are usually black or silver
B. A stove can be really hot
C. A pan is much smaller than a stove
#statement:  A stove sits on a pan 
choice:  B - ""a Stove Can Be Really Hot"""
0, I would like to fry a laptop ,"Select the most corresponding reason why the statement is against common sense:
A. frying the laptop will damage the machine
B. I played the laptop while eating fried food
C. I learned to fry potatoes from the laptop
#statement:  I would like to fry a laptop 
choice:  A, B or C?"
0, The goldfish ate a cat. ,"Select the most corresponding reason why the statement is against common sense:
A. Goldfish are herbivores
B. Goldfish and cats live on Earth.
C. The cat is lovely.
#statement:  The goldfish ate a cat. 
choice:  A"
0, I put the leftover food in the oven. ,"Select the most corresponding reason why the statement is against common sense:
A. People cook in an oven.
B. You can eat leftover food later.
C. Ovens cannot be used to store food
#statement:  I put the leftover food in the oven. 
choice:  C - ""Ovens cannot be used to storage of any kind"""
0, Lasagna is often eaten during movies. ,"Select the most corresponding reason why the statement is against common sense:
A. Few people eat lasagna during movies.
B. Lasagna is the favorite food of some people.
C. Lasagna is a type of pasta that usually has meat.
#statement:  Lasagna is often eaten during movies. 
choice:  B - It's not true, as few individuals consume it while watching films"
