,Unnamed: 0,statement,choice,choices
59,59, the Amazon rainforest does not have any animals on it ,B,"A. the Amazon rainforest's condition is good for animal growth
B. the Amazon rainforest has an abundance of unique animal species on it
C. the Amazon rainforest is the biggest rainforest in the world"
60,60, He filled his Car Tank with  water. ,C,"A. Gasoline is flammable while water can quench flames.
B. Water cannot be used to power a Car.
C. The density of water is greater than that of Gasoline."
61,61, They stored food in the ground in summer ,B,"A. They were eating food in the ground
B. Food should be stored in low temperature
C. They put their food in the ground"
62,62, dogs can live underwater ,A,"A. dogs haven't organs to breath underwater
B. dogs can swim in the water
C. Some dogs hate the water"
63,63, the family adopted a dinosaur to be their new pet ,A,"A. the dinosaurs died out long ago
B. many different animals can make good pets
C. some dinosaurs are carnivorous animals"
64,64, Something you find at the road is a t.v. ,C,"A. Road is public place while the house is private
B. Road is for vehicles
C. No one watches t.v. on road."
65,65, Mowing the lawn requires zero people to accomplish the task. ,B,"A. Mowing the lawn costs depends on the area of the lawn
B. You need at least one person, to mow the lawn.
C. He mowing the lawn himself in weekends"
66,66, It is easy to see the stars on a clear day. ,B,"A. Stars are shining day and night.
B. Sunlight is many orders of magnitude brighter than starlight.
C. No stars are brighter than the sun for the earth."
67,67, she sipped a shoe ,A,"A. shoes are inedible
B. the shoe is small
C. shoes come in pairs"
68,68, Helicopters can speak English ,C,"A. Helicopters flies lower than planes
B. Helicopters are noisy.
C. Helicopters cannot speak at all."
69,69, A normal person has 4 arms ,C,"A. A normal person has 2 legs
B. Arms are shorter than legs
C. A normal person has only 2 arms"
70,70, I finished my studies inside the sewer ,A,"A. A sewer is not a place to study
B. Homework is too many and a sewer is dirty
C. A study would not happen in a sewer"
71,71, Eating loves me ,B,"A. eating is action
B. eating has no emotions
C. love is fake"
72,72, The sun comes out at night ,A,"A. Sun never comes out at night,  the moon and stars do
B. At night,  you can not see the sun clearly
C. The moon reflects the light of the sun at night"
73,73, You can use your eyes to eat ,C,"A. People should keep their eyes clean
B. people need to eat and see
C. People use mouth to eat and eyes to see"
74,74, onions are grown in the tree ,C,"A. onion layers are like tree rings
B. the tree was growing upper not like an onion
C. onions are not possible to grow in the tree"
75,75, You can open a jar with your teeth. ,C,"A. Hair can be used in an emergency.
B. Hair is an emergency.
C. Opening a jar with your teeth is impossible."
76,76, Beer that is drunk by humans is white ,B,"A. white men like drinking beer
B. Beer is made of barley and it is a yellow drink
C. the man in white is drinking beer"
77,77, You should leave the lights on when you leave the room. ,C,"A. Some lights can be off automatically
B. The new technology of light can save electricity
C. Leaving the lights on is a waste of electricity"
78,78, You can dance anywhere. ,A,"A. It is imppropriate to dance in some places, like the library
B. There are specific place for people to dance
C. Some people don't know how to dance"
79,79, A train is used for sailing ,A,"A. Trains travel on rails
B. A train has wagons
C. A train is a form of transport"
80,80, The boy wore his new shoes on his back. ,B,"A. The bottom of shoes can be curved just like spines.
B. No one wears shoes on their backs.
C. Shoes are light and can be carried around."
81,81, He drinks energy drinks before sleeping ,B,"A. before praying,  he drinks some energy drinks
B. pray makes you relaxing while energy drinks make you energetic
C. Praying before sleeping is a  great way to sleep peacefully."
82,82, I use grass to cut my lawnmower. ,A,"A. Grass cannot cut a lawnmower.
B. Grass is green and the lawnmower is red.
C. Grass isn't sharp enough to cut a lawnmower"
83,83, the owner of the restaurant apologized for the good customer service ,B,"A. almost any restaurant can benefit from good customer service
B. good customer service isn't a fault, so no one should apologize for it
C. To apologize to his friends, he invites them to a restaurant which offers good customer service"
84,84, she eats a table for breakfast every day ,B,"A. eggs are usually small while tables are big
B. eggs are edible while tables are inedible
C. eggs do not come from tables"
85,85, Molly ordered the AC on ,C,"A. People turn on the AC when it is hot
B. Molly can't live without the AC in summer.
C. Molly cannot control the AC without touching it."
86,86, the comedian performed magic tricks ,C,"A. the magician made the comedian disappear
B. the comedian doesn't like magic tricks
C. the comedian isn't usually a magician"
87,87, SHE EAT A MOBILE PHONE ,A,"A. NO ONE EAT MOBILE PHONES
B. MOBILE PHONE IS USUALLY BLACK IN COLOR
C. MOBILE PHONE CANNOT EAT FOOD"
88,88, Dolphins are fish. ,A,"A. Dolphins are warm-blooded and breathe air, which are characteristics of mammals, and not fish.
B. Dolphins have fins.
C. Dolphins live in the ocean."
89,89," in summers, always the weather is cold. ",B,"A. sometimes it can be a little cool in summer.
B. summers are the hot seasons.
C. Cold drinks are suitable for summer"
90,90, The animals bloomed in the spring ,A,"A. Animals don't bloom like flowers
B. Animals can feed on flowers
C. Spring is the best season for many animals to find food"
91,91, The stone can float on the water ,B,"A. wood and stone are different materials
B. Stones are too heavy to float on the water
C. You can find stones and water in the river"
92,92, He hide a lion in the closet. ,C,"A. The lions are yellow and the closet is red
B. The lions are smaller than the closet.
C. No owns lions as pets."
93,93, A soldier shot with a guitar. ,A,"A. A guitar serves to make musical sounds.
B. Guitars are usually golden while revolvers are black.
C. A guitar cannot shoot with a revolver."
94,94, Breakfast is eating during the night. ,A,"A. Breakfast is the first meal of the day.
B. Many people don't eat breakfast now
C. The night comes after the day."
95,95, It is easy to find seashells in the forest ,B,"A. the trees are bigger than the seashells
B. seashells don't grow on trees
C. the seashells are harder than the trees"
96,96, She went to college to learn how to drive a car ,C,"A. College is too expensive for most people
B. She would never qualify for college
C. Colleges do not typically give driving lessons"
97,97, He can fly. ,A,"A. People have no wings so that they can not fly
B. Person can not catch the bird flying in the sky easily
C. people have different desires"
98,98, The library is under a river downtown ,A,"A. Libraries aren't built under rivers
B. the Library is near a river
C. A man-made river is in the library"
99,99, short is life ,A,"A. short is not a timeframe
B. Some people don't think their lives are short
C. a day is shorter than a year"
100,100, Water is not healthy. ,C,"A. Most of the human body is made up of water.
B. The earth is roughly 70% covered in water.
C. Water is essential to all life like air, and is vital."
101,101, eating trash food every day makes you stronger ,C,"A. trash food usually tastes good
B. eating trash food will make you feel happy
C. eating trash food every day makes your body fat and weak"
102,102, People like to eat land ,B,"A. there is some food on the land
B. People don't eat earth as food
C. People can't eat dirt"
103,103, The reality readers live in is the same as the fictitious worlds authors create in fiction novels. ,A,"A. the fiction describes a world that does not exist
B. The fictitious world's authors create can be the reflection of the author's real world.
C. The fictitious worlds in novels are created by authors for readers in the real world."
104,104, He rides rockets all days ,B,"A. Rockets are much bigger than a bike
B. Rockets are not common transportation tools
C. Rockets are more expensive than a bike"
105,105, Planes float on water. ,B,"A. planes are bigger than the small boat
B. Planes fly in the sky, and boats float on water
C. he owns private planes and boats"
106,106, I can lit a car ,C,"A. people can drive a car
B. she lifts a book onto her car
C. A car is too heavy for people to lift up"
107,107, standing up for long hours is relaxing ,C,"A. standing up can keep you slim
B. you must stand up when your name is called out
C. standing up for a long time will make your body tired"
108,108, A stove sits on a pan ,C,"A. pans are usually black or silver
B. A stove can be really hot
C. A pan is much smaller than a stove"
109,109, I would like to fry a laptop ,A,"A. frying the laptop will damage the machine
B. I played the laptop while eating fried food
C. I learned to fry potatoes from the laptop"
110,110, The goldfish ate a cat. ,A,"A. Goldfish are herbivores
B. Goldfish and cats live on Earth.
C. The cat is lovely."
111,111, I put the leftover food in the oven. ,C,"A. People cook in an oven.
B. You can eat leftover food later.
C. Ovens cannot be used to store food"
112,112, Lasagna is often eaten during movies. ,A,"A. Few people eat lasagna during movies.
B. Lasagna is the favorite food of some people.
C. Lasagna is a type of pasta that usually has meat."
113,113, You are more likely to overeat on a full stomach. ,B,"A. Overeating can lead to overweight
B. You can hardly eat anything if your stomach is already full
C. Overeating is not healthy"
114,114, the cow had a significant amount of rust ,C,"A. rust is most often reddish in color
B. cows are likely to be found on farms
C. only certain metals can rust"
115,115, She turned the sun off. ,C,"A. The sun is too hot
B. The sun is too large
C. Humans cannot control the sun"
116,116, I need to heat up some water using the refrigerator ,B,"A. refrigerators have doors
B. refrigerators have low temperatures
C. refrigerators can store food"
117,117, The bird rented a room ,B,"A. The bird has no money
B. The bird cannot rent a room
C. There are no rooms for rent"
118,118, he always wins the lottery ,C,"A. lottery is usually worn only once by the same party
B. you cannot buy lottery cheat codes
C. the chances of always winning a lotto consistently is very low"
119,119, The apple is a well-designed vehicle. ,A,"A. The apple is a fruit and not a vehicle.
B. Apples are red and vehicle have a steering wheel.
C. An apple a day is said to keep the scalpel away."
120,120, people usually have their lunch in the morning ,A,"A. the meal we usually eat in the morning is called breakfast
B. having food in the morning will enhance your energy
C. many young people don't eat in the morning to make time"
121,121, The man slipped on the gentle breeze ,B,"A. A gentle breeze is nice in summer
B. It is not possible to slip on a gentle breeze for a man
C. A gentle breeze can also bring fresh air"
122,122, the murder case remained a happy event ,C,"A. murders are always solved by police
B. some murders are hidden too well to solve
C. murders are considered awful by most people"
123,123, He went to a petrol station to write the exam ,B,"A. There are cars at the petrol station
B. Exams are conducted in the examination hall,  rather than the petrol station
C. It is an unpleasant thing to write the exam."
124,124, only eating fried food makes your diet healthier ,B,"A. being healthy is different for every one
B. fried foods make you fat so they are unhealthy
C. eating fried food can make people feel happy"
125,125, Amazon has gone bankrupt ,B,"A. amazon is alive
B. amazon still works well now
C. some companies smaller than Amazon has gone bankrupt"
126,126, her favorite organ is the telephone ,A,"A. a telephone is made up of electronic components and an organ is made up of cells
B. telephones are the size of organs
C. telephones can communicate with other organs in the body"
127,127, The man went to the doctor because he needed to buy bread ,B,"A. The doctor was hungry after the operation
B. They don't sell food at the doctor's office
C. The doctor likes eating bread very much"
128,128, Fish swim in sand. ,B,"A. Fish and sand are in the ocean.
B. Fish live in water.
C. Fish do not eat sand."
129,129, lead is not poisonous ,A,"A. lead can kill you
B. lead used to be in pencils
C. lead has mass"
130,130, He put the cat in the fridge ,A,"A. cats can die in a refrigerator for too long
B. cats want to eat the fish in the fridge
C. the cat-like sitting around the fridge"
131,131, To be a doctor you must only obtain the faith and trust of your patients. ,A,"A. You can not be a doctor just because you are trustworthy.
B. Doctors are people who treat the sick.
C. Sick people go to the doctor to be diagnosed and treated for their illnesses."
132,132, he put a giraffe on the back of his bike ,A,"A. the giraffe is much bigger than your bike
B. the giraffes are painted the bikes can be any color
C. a giraffe can't eat a bike"
133,133, War is a good thing and benefits everyone. ,C,"A. People say bad words during wars
B. Some countries with evil presidents go to war
C. War results in death and injury for millions of people and killing people is evil so war is therefore evil."
134,134, graphs have been known to cause cancer ,B,"A. graphs can display the danger of cancer
B. graphs do no affect human health
C. There are many graphs in the lecture"
135,135, The worm swallowed the bird. ,A,"A. the bird is much larger while the worm is much smaller.
B. Worms usually fly while birds simply nest.
C. Birds can't fly to the moon."
136,136, he put some cooking oil in his wine ,A,"A. cooking oil will destroy the taste of the wine
B. cooking oil and wine are liquids
C. cooking oil will float on the wine"
137,137, I saw an elephant on a bicycle. ,A,"A. The bike is not hard enough to load an elephant
B. She rides a bike to the zoo to visit elephants
C. the elephant will not eat bikes"
138,138, the cow flew away ,B,"A. a fly is on the cow
B. the cow isn't able to fly
C. the cow looks at the flying object"
139,139, the TV program entertains the fish ,A,"A. fish don't understand TV programs
B. the TV program taught you how to raise fish
C. the TV program shows the life of fish"
140,140, Jerry has orange serfs with flamingos printed on them. ,B,"A. Humans love oranges.
B. Humans are not orange.
C. Flamingos HATE undies."
141,141, His glasses are clear so he wipes them clean ,B,"A. his favorite glasses are the dark glasses.
B. clear glasses don't need to be clean anymore
C. he has multiple pairs of clear glasses"
142,142, Zebra swim in the water ,A,"A. Zebra is a land animal, and fish live in water
B. Zebra and a fish are both animal
C. Zebra and fish both eats,sleep and reproduce"
143,143, he went for a walk in the woods and was bitten by a shark ,B,"A. sharks are predators and will bite
B. there are no sharks in the woods
C. sharks don't eat the woods"
144,144, Some chocolate bars are molded metal. ,C,"A. chocolate bars can be broken easily.
B. chocolate bars are tasty.
C. chocolate bars are made of chocolate."
145,145, He puts the monkeys in the cup. ,A,"A. The monkey is much larger than a cup.
B. Monkeys are fur animals, while cups are made of glass or plastic.
C. Monkeys cannot eat cups."
146,146, The refrigerator cleaned the dirty clothes ,A,"A. A refrigerator does not wash clothes
B. There were too many clothes to wash
C. the refrigerator cannot be used to store clothes"
147,147, An apple took a bite out of him. ,B,"A. People is larger than an apple.
B. An apple can not eat people
C. Many people like eating an apple"
148,148, He put a car into a fridge ,A,"A. A car is much bigger than a fridge
B. Car is usually red while a fridge is usually gray
C. A car cannot eat the fridge"
149,149, Winter is a good time to wear short dresses. ,B,"A. Each season has different clothes.
B. Short dresses are summer clothes.
C. Usually, there will have discounts for buying short dresses in winter"
150,150, An anvil is floating in the pond. ,C,"A. Anvils are iron while lakes are water.
B. Anvils are equipped on ships
C. An anvil is very heavy and sinks into the water."
151,151, He rides his apple. ,B,"A. He rides a bike to buy some apples
B. An apple is a kind of fruit and can`t be ridden.
C. Apples are usually red"
152,152, It usually snows in Cuba ,B,"A. Cuba is a country in the world
B. Cuba is a really hot country and seldom snow
C. Sometimes it snows in Cuba"
153,153, The park ran to him ,B,"A. He ran in the park
B. A park cannot move
C. He cannot run"
154,154, he put a semi-truck engine in the s2000 ,B,"A. corvette engines are lighter and semi-truck engines have more torque
B. a semi engine is too big and heavy for a honda s2000
C. you cant fit a corvette engine in a semi-truck"
155,155, Zookeeper is working at the hospital ,A,"A. Zookeeper is the one who is responsible for the animals at the zoo.
B. Zookeepers keep the zoo clean
C. the zookeeper went to the hospital yesterday"
156,156, The boy broke his tooth on a banana pit. ,B,"A. Bananas are not as tangy as the tooth.
B. Bananas grow no pits or seeds.
C. Bananas squash easier than tooth."
157,157, He wrote a book by signing ,C,"A. The book is about how people singing
B. after finish writing this book, she sang a song
C. people write but not sing to make a book"
158,158, winter comes in the same time each year ,A,"A. each year the climate changes and winter comes in different time
B. winter is always cold
C. winter comes in different time in different places"
159,159, The video game ran away. ,C,"A. the are many video games out there.
B. The most famous video game of all time is the Mario Bros. Series.
C. The video game cannot walk away because it is not alive."
160,160, Hair can be cut at the pharmacy. ,B,"A. Hairdressers and pharmacists earn money.
B. Hair is cut at the hairdresser or barber.
C. Hairdressers are humans like pharmacists."
161,161, when it is hot humidity forms ,C,"A. Humidity is a measure of moisture in the atmosphere.
B. Laundry will not be dry because of the humidity.
C. hotness will evaporate water"
162,162, Snowmen are made of sand. ,C,"A. Snowmen can be made on the sand.
B. The waves wash away snowmen on the beach.
C. Snowmen get their name from what they are made of."
163,163, he put the house into the fridge ,B,"A. the fridge is full of food
B. the house is usually bigger than the fridge
C. the house is much more expensive than the fridge"
164,164, City Hall adjusted to man's view ,A,"A. City halls do not move
B. We manufacture bow ties in the city hall
C. The city hall does not support itself"
165,165, she drove a pencil ,B,"A. she drove to buy some pencils yesterday
B. a pencil is a kind of stationery which cannot be driven
C. a pencil cannot drive because it is inanimate"
166,166, I enter in a bottle ,B,"A. a bottle can be filled just with orange juice
B. a bottle is smaller than a person
C. a person can break the bottle"
167,167, she eats a pillow after her workout ,A,"A. a pillow is inedible
B. pillows are usually white
C. she takess the bent arm as a pillow"
168,168, It is cold and hot outside ,C,"A. It is cold because it is snowing
B. It is hot because the sun is in the perihelion
C. It cannot be cold and hot at the same time"
169,169, The girl broke her lamp while ice skating. ,C,"A. Lamps are usually plugged into an outlet and there are no outlets while ice skating
B. Lamps do not have feet to ice skate
C. You do not bring a lamp with you while ice skating."
170,170, It is good to drink saltwater at night ,A,"A. Saltwater at night is bad for health
B. You should not drink too much water at night
C. Health should be maintained by people"
171,171, The boy won the race with a cheetah ,B,"A. the cheetah looks different from the boy
B. cheetahs run faster than humans
C. the boy would be happy if he wins the race"
172,172, A home is a place for violence. ,A,"A. Safety and Security place is our home.
B. My home is sweet.
C. A home can be changed into a picnic spot."
173,173, I hung a horse in my hallway. ,C,"A. The horse did not match the other decor
B. The horse was in a bad mood
C. No one hung a horse in the hallway"
174,174, Lobsters live in the mountains ,C,"A. lobsters are most often red
B. Lobsters never stop growing ad they age
C. Lobsters needs water to live"
175,175, Children go to school to laugh ,A,"A. Schools prioritize education over entertainment
B. Schools are boring for some children
C. Children are not capable of laughing"
176,176, She flew to church in her new car ,B,"A. She drove her car to the airport
B. Cars are meant to be driven and not flown in the air
C. People can't fly"
177,177, Blackberries and strawberries are the same. ,A,"A. Blackberries and strawberries are two different kinds of berries.
B. Blackberries and strawberries taste differently.
C. Blackberries and strawberries are both tasty."
178,178, Freshwater fish can live in the ocean. ,C,"A. Humans catch and eat fish.
B. There are lots of marine animals in the ocean.
C. A fish that lives in freshwater would die in the ocean."
179,179, The men are mowing the lawn because it is raining. ,C,"A. The water helps put out the fire on the grass.
B. The rain makes the grass too dry to mow.
C. The crew doesn't mow the lawn when it is wet outside."
180,180, I took 300 Tylenol tablets to cure my headache. ,B,"A. 300 Tylenol tablets would be too expensive to afford.
B. 300 Tylenol tablets would contain a toxic dose of medicine.
C. 300 Tylenol tablets would increase the size of your head too much."
181,181, Wheels are delicious for human taste ,A,"A. Wheels are not edible for humans
B. People have different taste for food
C. Wheels can be found in cars"
182,182, CNN is for sports ,A,"A. CNN covers the news and ESPN covers sports.
B. CNN is on 24/7
C. CNN is on cable."
183,183, Going to a place that is too far to walk requires good tennis. ,A,"A. The means of transportation are designed to give you the possibility to go on long trips where walking becomes infeasible.
B. Tennis is designed to give you the possibility to go on long trips where walking becomes nonviable.
C. The hike is designed to give you the possibility of making long trips where the means of transportation become unviable."
184,184, She flies to the school everyday morning ,B,"A. the bird is flying in the school
B. no one can fly in this world
C. she dreams of being able to fly"
185,185," That morning, Kate had dinner and left for work ",B,"A. Kate was late for work and did not have the time for dinner
B. dinner is the meal that one takes in the evening rather than in the morning
C. some people's work is to serve dinner"
186,186, The wind pushes the tree upright ,B,"A. Trees grow to be tall
B. The wind cannot push a tree to stand up
C. Trees are normally brown"
187,187, Circuses only have animals ,A,"A. Circuses have different types of acts
B. Circuses sell popcorn
C. Kids love the circus"
188,188, You need to see to write on paper. ,B,"A. some people can not see, while others can not write
B. Because you can write with your eyes closed.
C. she did not write down what she saw"
189,189, the chair plays video games ,A,"A. chairs are unable to play video games
B. chairs are not allowed to play video games
C. it is against the law for chairs to play video games"
190,190, robots are omniscient such as humans ,C,"A. Robots are better than humans to accomplish tasks in social networks
B. Robots aren't human anymore but they can use social networks as well.
C. robots simulate human reasoning but they are not human"
191,191, A COW EAT A MOUNTAIN ,A,"A. COW CANNOT EAT A MOUNTAIN
B. COW AND MOUNTAIN ARE SAME IN COLOR
C. MOUNTAIN CANNOT EAT COW"
192,192, You can only find fish in the ocean ,B,"A. some fish could only live in the ocean
B. Fish live in both lakes and oceans
C. Some fish prefer the lake to the ocean"
193,193, Boats can be used for road drives ,B,"A. Boats have anchors to park in the sea
B. Boats can be used in waters for traveling
C. Boats have propellers"
194,194, My sister is a male ,C,"A. My sister likes male
B. his sister likes female
C. a sister means a girl, which means female"
195,195, the fish live in computers. ,B,"A. Computers are more expensive than the fish
B. Computers don't have water for the fish.
C. People can buy living fish through the computer"
196,196, he put a horse in the cage ,A,"A. a horse is much bigger than a cage
B. horse is usually brown cages are usually silver
C. horse can't eat a cage"
197,197, I will never die. ,A,"A. No human lives forever.
B. Humans live with oxygen.
C. Humans eat to live."
198,198, Whales can fly ,A,"A. Whales live in the sea, and have no wings to fly
B. Whales can prey on flying birds
C. a whale is bigger than a bird flying in the sky"
199,199," When people cry,  tears come out of their ears ",C,"A. people have ears and tears
B. Tears are liquid,  while ears are solid
C. There are no tear ducting in ears"
200,200, There is a car in her purse ,B,"A. A car is usually more expensive than a purse
B. A car is bigger than a purse
C. She left her purse in his car"
201,201, The human died because it ran out of juice. ,B,"A. some humans like to drink juice
B. humans can still live without juice.
C. some juice tastes sweet while some tastes sour"
